800;Layered network models;A wedding cake at port 80's party: each tier only touches its neighbors, and the baker swaps the frosting layer without rebuilding the cake.;OSI (7-layer) and TCP/IP (4-layer) models stack protocols so each layer serves the one above and rides the one below.;"HTTP rides TCP rides IP rides Ethernet; swap Wi-Fi for Ethernet and HTTP never notices";OOP encapsulation — same word, but here it means each layer wrapping the payload in its own header.
812;ACKs & retransmission;"Reading a phone number aloud: the listener repeats each chunk back; on silence, you repeat the chunk louder.";"The receiver acknowledges bytes received; the sender retransmits anything unacknowledged after a timeout or on duplicate ACKs.";"seq 1000 sent, no ACK within RTO leads to resend; 3 duplicate ACKs trigger fast retransmit";"NACK-based protocols — the receiver reports gaps; TCP's receiver confirms arrivals and silence signals loss."
813;Sequence numbers & ordering;"Numbered puzzle pieces arriving by pigeon in any order; the receiving desk has numbered slots and only hands over the picture in sequence.";Every TCP byte carries a sequence number so the receiver reorders out-of-order segments and discards duplicates before delivery.;segments arrive 1,3,2: receiver buffers 3, delivers 1,2,3 to the app in order;"Queue message ordering — per-partition at best; TCP orders every byte within one connection."
814;Flow vs congestion control;"Pouring beer for a friend: their glass size is flow control; the crowded bar you carry it through is congestion control. Pour at the smaller limit.";"Flow control (rwnd) keeps the sender from drowning the receiver; congestion control (cwnd) keeps it from drowning the network.";"send window = min(rwnd, cwnd); slow start doubles cwnd per RTT until loss, then backs off";"The two windows — rwnd is advertised by the receiver, cwnd is inferred from loss; the sender honors the minimum."
815;UDP trade-off;Throwing paper airplanes of notes across the office: instant, cheap, some land in the trash and nobody ever tells you.;UDP sends unordered, unacknowledged datagrams with an 8-byte header: no handshake or retransmission — reliability traded for speed and control.;DNS queries, game state, VoIP: a lost voice packet is better skipped than replayed late;"TCP — pays handshake and retransmission for reliability; UDP lets the app decide what loss means."
816;Sockets;A wall outlet for data: plug in (connect), current flows (read/write), unplug (close). The outlet's label lists both endpoint addresses.;"A socket is the OS endpoint API for network I/O; a TCP connection is uniquely named by the 5-tuple of protocol plus src/dst IP:port.";"s = socket(); s.bind((ip,80)); s.listen(); conn, addr = s.accept(); conn.recv(4096)";"Port — just a number; a socket is the live OS object bound to addresses and connection state."
817;Head-of-line blocking;"A supermarket queue where the front shopper hunts for coupons; every cart behind is frozen even though their goods are already bagged.";One lost or slow item at the front stalls everything queued behind it — TCP withholds later bytes until the gap is retransmitted.;"HTTP/2 multiplexes streams over one TCP connection: one lost packet stalls ALL streams; QUIC fixes this";"Congestion — the network is slow for everyone; HOL blocking is ready data stuck behind one missing piece."
818;QUIC;"Quick-silver couriers on rollerblades, each in an independent lane: one courier tripping never halts the others; badges (TLS) checked as they roll in.";"QUIC runs reliable multiplexed streams over UDP with built-in TLS 1.3, 0/1-RTT setup, and no cross-stream head-of-line blocking; HTTP/3 rides it.";"HTTP/3 = QUIC; the connection survives your phone switching Wi-Fi to LTE (connection IDs, not 5-tuple)";"HTTP/2 — multiplexes inside one TCP stream so a loss stalls all streams; QUIC streams recover independently."
819;Teardown & TIME_WAIT;"Two diners each fold their napkin (FIN) and nod (ACK); whoever folded first waits by the door a while in case the waiter brings a forgotten plate.";"TCP closes each direction with FIN/ACK; the active closer lingers in TIME_WAIT (~2xMSL) so stray old segments can't corrupt a new connection.";"netstat shows thousands of TIME_WAIT sockets after a load test; SO_REUSEADDR lets servers rebind";"RST — an abortive slam-the-phone close; FIN is the polite two-sided goodbye."
820;Request/response anatomy;"A restaurant order slip: the verb 'GET' scrawled on top, table notes (headers) below; the kitchen returns a numbered ticket (status) stapled to the dish (body).";"An HTTP request is method + path + headers + optional body; the response is status line + headers + body — one exchange per request.";GET /users/7 HTTP/1.1 with Host: api.example.com returns HTTP/1.1 200 OK, Content-Type: application/json, {...};The TCP stream beneath — HTTP frames one request/response pair on top of the raw byte pipe.
821;HTTP methods;Five stamps on a librarian's desk: a magnifying glass (GET), a 'new arrival' stamp (POST), a whole-page paste-over (PUT), correction tape (PATCH), a shredder (DELETE).;Methods declare intent on a resource: GET reads, POST creates or acts, PUT replaces, PATCH edits partially, DELETE removes.;"POST /orders creates; PUT /orders/9 replaces entirely; PATCH /orders/9 {status:'shipped'} tweaks one field";"PUT vs PATCH — PUT sends the complete replacement resource; PATCH sends only the delta."
822;Safe vs idempotent methods;A light switch (PUT: flip to ON ten times, still just ON) vs a vending machine button (POST: ten presses, ten sodas). Window shopping (GET) buys nothing.;"Safe methods (GET, HEAD) change nothing; idempotent ones (GET, PUT, DELETE) give the same result when repeated — POST is neither.";"Retry a timed-out PUT safely; retry a POST and you may create duplicate orders";Idempotent vs safe — DELETE is idempotent (same end state) but not safe (it changed something).
823;Status code classes;Five doors down a corridor: blue chatter (1xx), green 'come in' (2xx), yellow arrow pointing away (3xx), red mirror labeled 'your fault' (4xx), black smoke from the kitchen (5xx).;1xx informational, 2xx success, 3xx redirection, 4xx client error, 5xx server error — the first digit is the contract.;200 OK, 201 Created, 301 Moved, 304 Not Modified, 404 Not Found, 429 Too Many Requests, 503 Unavailable;"401 vs 403 — 401 means unauthenticated (who are you?); 403 means authenticated but forbidden."
824;HTTP headers;Sticky notes plastered on a parcel: 'fragile: JSON inside', 'signed by bearer token', 'recipient prefers gzip' — the courier reads the notes but never opens the box.;Key-value metadata lines shaping the exchange — Content-Type, Authorization, Accept, Cache-Control: data about the data.;curl -H 'Accept: application/json' -H 'Authorization: Bearer eyJ...' https://api.example.com/me;"Body — the payload itself; headers describe and route it and are never part of the resource."
825;Cache-Control & freshness;"A milk carton stamped 'best before: 3600 seconds'; the fridge (cache) pours it freely until the stamp expires, then must call the dairy again.";Cache-Control directives (max-age, no-store, public/private) tell caches how long a response stays fresh without re-asking the server.;Cache-Control: public, max-age=31536000, immutable on fingerprinted assets like app.9f3c2.js;"ETag validation — a revalidation round trip after freshness expires; max-age avoids the request entirely."
826;ETag & conditional 304;A cloakroom ticket: show your stub and the clerk says 'same coat, keep wearing it' (304) instead of hauling a new coat over the counter.;"The server tags a response version (ETag); the client re-asks with If-None-Match and gets a bodiless 304 if unchanged, saving bandwidth.";"GET /doc returns 200 with ETag 'v42'; GET /doc If-None-Match: 'v42' returns 304 Not Modified, empty body";"Last-Modified — timestamp-based with 1-second granularity; ETag is an opaque exact fingerprint."
827;Statelessness;A goldfish concierge with perfect service and zero memory: every visit you re-show your badge, and any concierge fish in the tank can serve you.;"Each HTTP request must carry everything needed to serve it; the server keeps no conversation memory between requests.";"Auth token repeated on every request; any of 50 identical servers can answer; a restart loses nothing";Sessions — bolt server-side memory back on via cookies, trading away the scale-out freedom statelessness bought.
828;Resources & URIs;"A museum where every artifact has a permanent shelf label (/paintings/42); you act on labels with the same four gestures, never yelling 'doGetPainting!'";REST models nouns as URI-addressed resources manipulated through uniform methods, not verb-named endpoints.;GET /users/7/orders, not GET /getOrdersForUser?id=7 — the URI names a thing, the method acts on it;"RPC style — endpoints name actions (/createUser); REST names things and reuses standard verbs."
829;Content negotiation;A menu offered in three languages: you murmur 'francais, s'il vous plait' (Accept) and the same dishes arrive described differently.;Client and server agree on representation via Accept and Content-Type (plus -Encoding, -Language): one resource, many formats.;"GET /report with Accept: text/csv returns CSV; Accept: application/json returns JSON; same URI both times";"URL-baked formats (/report.json) — put representation into identity; negotiation keeps one URI."
830;GraphQL;A build-your-own-salad bar with one cashier: you hand over a card listing every ingredient and get precisely that bowl — no fixed set menus (endpoints).;"A query language where clients declare exactly the fields they need in one request to a single endpoint; the server resolves the shape.";POST /graphql query { user(id:7){ name orders(last:3){ total } } } returns exactly those fields in one round trip;"REST — fixed response shapes per endpoint cause over/under-fetching; GraphQL shapes per query but complicates HTTP caching."
831;gRPC;A pneumatic tube between offices: you shout a method name into it ('GetUser!') and a shrink-wrapped binary capsule whooshes back — no browsing, just calls.;A high-performance RPC framework: call remote methods defined in .proto contracts, with Protobuf encoding over HTTP/2 streams.;"service Users { rpc GetUser(GetUserRequest) returns (User); } — codegen emits typed client stubs";"REST/JSON — human-readable and browser-native; gRPC is binary, contract-first, and needs a proxy for browsers."
832;HTTP/2 multiplexing;One highway lane carrying dozens of striped snakes braided together — each stripe a different request, unbraided again at the far end.;HTTP/2 interleaves many concurrent streams as binary frames over one TCP connection, plus HPACK header compression.;"A browser fetches 30 assets over 1 connection; no more 6-connection limit or domain sharding";"HTTP/1.1 pipelining — responses had to return in order; H2 frames interleave freely (until TCP-level loss)."
833;API rate limiting;A nightclub bouncer with a clicker counter per guest: your tenth entry this minute meets the velvet rope and a card reading 'come back in 42 seconds' (Retry-After).;The server enforces a per-client request budget (token bucket, sliding window) and answers 429 Too Many Requests when it is spent.;HTTP/1.1 429 Too Many Requests / Retry-After: 30 / X-RateLimit-Remaining: 0;"vs load shedding (879): shedding drops excess globally when overwhelmed; rate limiting enforces per-client budgets continuously | vs backpressure (877): backpressure slows the producer; a limiter rejects"
834;WebSockets;A phone call spliced out of a letter exchange: the first letter says 'call me' (Upgrade: websocket), then both sides just talk over the open line.;An HTTP Upgrade handshake hands the TCP connection to a persistent full-duplex message channel — either side sends anytime.;"ws = new WebSocket('wss://chat.example.com'); ws.send('hi'); ws.onmessage = e => render(e.data)";"SSE — server-to-client only over plain HTTP; WebSockets are bidirectional on an upgraded socket."
835;Server-sent events;A stock ticker tape chattering out of a slot in the wall — one-way tape, and if it jams, the machine re-threads itself right where it left off.;SSE streams server-to-client text events over one long-lived plain HTTP response, with auto-reconnect and Last-Event-ID built in.;"Content-Type: text/event-stream; frames like data: {'price':101} followed by a blank line; browser: new EventSource('/ticker')";"WebSockets — bidirectional custom protocol; SSE is one-way, plain HTTP, proxy-friendly, auto-reconnecting."
836;Webhooks;"You leave your home address at the tailor's; when the suit is ready, they knock on YOUR door — the note sealed with wax (HMAC) so you know it's really them.";Instead of you polling, the provider POSTs an HTTP callback to your registered URL when the event happens — verify the signature.;"Stripe POSTs /webhooks/stripe {type:'payment.succeeded'}; verify Stripe-Signature; respond 200 fast, process async";"Polling an API — you ask repeatedly; a webhook reverses direction, so you must now run a public endpoint and dedupe retries."
837;Long polling vs push;"A kid asking 'are we there yet?' but dad refuses to answer until they ARE there; the instant he speaks, the kid asks again.";Long polling holds each request open until data arrives, then the client immediately re-asks — near-real-time push over plain request/response.;"GET /messages?since=42 hangs up to 30s; returns on new message or timeout; client loops immediately";"Short polling — fixed-interval asking wastes requests and adds latency; long polling parks the request server-side."
838;Offset pagination;Counting to seat 400 in a stadium by walking past every seat — and while you count, ushers keep wedging in new chairs, so you seat someone twice.;Pages via LIMIT/OFFSET (page=3&size=20): simple and jumpable, but O(offset) scan cost and rows shift when data changes mid-scroll.;GET /items?offset=100&limit=20 maps to SQL ORDER BY id LIMIT 20 OFFSET 100 (rescans 100 rows);Cursor pagination — 'after this key' is stable and indexed, but you can't jump straight to page 47.
839;Cursor pagination;A steel bookmark clipped to the exact sentence, not the page number: strangers can staple in new pages all night, your clip still points at your sentence.;"The response returns an opaque cursor marking the last item; the next request continues after it — stable under inserts, indexed lookup.";"GET /items?after=eyJpZCI6OTh9 returns {items:[...], next_cursor:...}; SQL WHERE id > 98 LIMIT 20";"Offset pagination — allows random page jumps but drifts and slows on deep pages; cursors trade jumping for stability."
840;Authentication vs authorization;"A nightclub: the bouncer at the door checks your ID photo (authN); inside, a velvet rope still blocks you from the VIP loft (authZ).";"Authentication proves who you are; authorization decides what you may do — 401 challenges identity, 403 denies permission.";Login succeeds (authN) but GET /admin returns 403 (authZ): known user, insufficient rights;"401 vs 403 — 401 says 'prove who you are'; 403 says 'we know you, and no'."
841;Sessions & cookies;"A coat-check token: the clerk keeps your coat (state) in the back room; you carry only a numbered brass chip that the doorman glimpses on each pass.";The server stores login state under a random session ID and hands it to the browser as a cookie, auto-sent on every same-site request.;"Set-Cookie: sid=a1b2c3; server looks up sessions[a1b2c3] = {user: 7}; logout deletes the server entry";"JWT — the state travels inside the token itself; a session ID is a mere pointer to server memory, instantly revocable."
842;Cookie security flags;Three padlocks on the brass chip: a blindfold so page scripts can't read it (HttpOnly), armored-car-only transport (Secure), and 'no forwarding to other buildings' (SameSite).;HttpOnly hides a cookie from JavaScript, Secure restricts it to HTTPS, and SameSite limits cross-site sending (CSRF defense).;"Set-Cookie: sid=...; HttpOnly; Secure; SameSite=Lax — XSS can't read it, plain HTTP can't leak it";"Secure flag vs HTTPS-only site — the flag guards the cookie even if one HTTP link slips in; site policy alone doesn't."
843;JWT anatomy;A see-through glass ticket with claims etched inside and a wax seal on the corner: anyone can read it through the glass, but only the mint's seal makes it valid.;A JWT is three base64url parts — header.payload.signature — with claims in the payload: readable by anyone, forgeable by no one.;eyJhbGciOi...payload...signature — decode at jwt.io: {sub:'7', role:'admin', exp:1740000000};"Encryption — JWTs are signed, not secret; base64 is mere encoding, so never put passwords in claims."
844;JWT revocation problem;Firing an employee who holds a tamper-proof badge that doors trust without phoning HR: until the badge's printed date expires, every door still swings open for him.;Stateless JWTs verify by signature alone, so a stolen or logged-out token stays valid until exp — revocation needs a denylist or short TTLs.;"Mitigation: 5-minute access tokens plus a refresh token that IS checked server-side; or a token denylist";"Session IDs — delete the server row and access dies instantly; JWTs traded that kill switch for statelessness."
845;OAuth2 authorization-code flow;A valet triangle: you never hand the app your house keys — the provider gives it a single-use claim ticket (code), which its back office trades for a scoped valet key (token).;"The app redirects you to the provider to consent; a one-time code returns via redirect and is exchanged server-side (with PKCE) for tokens.";GET /authorize?client_id&redirect_uri&code_challenge then ?code=xyz then POST /token {code, verifier} yields access_token;OpenID Connect — the identity layer on top: OAuth answers 'may this app act?', OIDC answers 'who is this user?' (id_token).
846;Refresh tokens;"A season pass locked in the box-office safe that prints day tickets: lose a day ticket, small harm; cancel the pass and the printing stops cold.";A long-lived, server-checked token exchanged for fresh short-lived access tokens, keeping access revocable without constant re-login.;"access_token expires in 5m; POST /token {grant_type:refresh_token} returns a new pair; rotation detects theft";"Access token — the short-lived bearer shown to APIs; the refresh token only ever talks to the auth server."
847;API keys;A factory gate with one rubber-stamped hall pass photocopied for the whole vendor company — the guard knows the company, never the person.;"A static secret string identifying the calling app, sent in a header; simple to issue and rate-limit, but no user identity and painful to rotate.";curl -H 'X-Api-Key: sk_live_51H...' https://api.example.com/v1/charges — scope is the app, not a user;"OAuth tokens — scoped, expiring, user-delegated; an API key is a durable app-level password."
848;RBAC;"Colored hard hats at a construction site: white hats enter the office, yellow hats ride machines; the guard checks hat color, never your biography.";Permissions attach to roles (admin, editor, viewer) and users receive roles — authorization by job title: coarse but auditable.;"role editor = {post:create, post:edit}; alice.roles = [editor]; can alice delete users? no such role, deny";"ABAC — evaluates attributes and context per request; RBAC only asks which hat you wear."
849;ABAC;A shape-shifting door that reads your badge, the folder's tags, and the wall clock all at once — it opens for the night nurse at 3am but refuses her at noon.;Access decided by policies over attributes of user, resource, and context — 'doctors may read records of patients in their own ward, on shift'.;allow if user.dept == doc.dept and doc.level <= user.clearance and time in work_hours;"RBAC — static role buckets; ABAC composes fine-grained runtime conditions at the cost of policy complexity."
850;Partial failure;Shouting orders across a foggy harbor: some boats answer, some sank, some are merely slow — and the fog never tells you which.;In a distributed system some parts fail while others work — and a hung remote call is indistinguishable from a slow one or a lost reply.;A call times out: did the payment fail, or succeed with the ACK lost? Both remain possible;"Total failure — a single machine crashing whole is painful but simple; partial failure creates ambiguous mixed states."
851;Fallacies of distributed computing;"Eight smiling gremlins each holding a cue card of a lie ('the network never drops!'); production is the stage where each card catches fire in turn.";Eight false assumptions: the network is reliable, latency zero, bandwidth infinite, topology stable, one admin, transport free, secure, homogeneous.;Code assuming a service call is as safe as a local call breaks first on fallacy #1: the network is reliable;"CAP theorem — one precise proven trade-off; the fallacies are a checklist of naive beliefs."
852;CAP theorem;Two bank branches with the phone line cut: freeze withdrawals until the line returns (C) or hand out cash and reconcile later (A). The cut line (P) chose itself.;During a network partition you must choose consistency (refuse or block) or availability (answer, possibly stale) — P itself is not optional.;"Partition hits: a CP system errors on the minority side; an AP system serves possibly-stale reads";"'Pick 2 of 3' myth — you can't drop P; the real choice is C-versus-A only while partitioned."
853;Lamport logical clocks;Gossiping villagers each carrying a click-counter: on hearing news you click past the teller's count — nobody owns a watch, yet the stories still sort.;A counter incremented per event and maxed on message receipt orders events consistently with causality — happens-before without wall clocks.;"A sends msg with t=5; B at t=3 receives and jumps to max(3,5)+1=6; if a happens-before b then L(a)<L(b)";"Vector clocks — can detect concurrency (incomparable events); Lamport gives one order but can't tell concurrent apart."
854;Consensus problem;Five judges in soundproof booths passing notes to pick one winner — notes vanish, judges nap, yet no two may ever announce different winners.;"Getting nodes to agree on one value despite crashes and delays; FLP proves no algorithm guarantees it in bounded time asynchronously.";Leader election, transaction commit, log ordering — all reduce to consensus (Raft, Paxos);"Eventual consistency — replicas drift then converge; consensus means agreeing BEFORE acting, never diverging."
855;Raft leader election;A raft crew whose captain's drumbeat stops: the first rower to wake shouts 'term 8 — vote for me!' and half the oars raised makes a captain.;"Followers missing heartbeats become candidates and solicit votes in a new term; a majority makes a leader, and higher terms depose stale ones.";"Election timeout randomized 150-300ms to avoid split votes; a candidate needs 3 of 5 votes";"Paxos — equivalent guarantees but famously hard to grasp; Raft was designed for understandability with an explicit leader."
856;Split brain;An orchestra split by a fallen curtain: two conductors now wave batons at half the players each, and the symphony forks into noise.;A partition leaves two nodes each believing they are the sole leader, both accepting writes — prevented by majority quorums and fencing.;A 5-node cluster splits 3/2: the 2-side cannot reach majority and refuses writes — no second leader;"Failover — the intended replacement of a dead leader; split brain is two simultaneous leaders corrupting data."
857;Exactly-once delivery myth;A unicorn stamped 'EXACTLY ONCE' painted on a postal truck: chase it and you find a mule re-delivering parcels (at-least-once) to houses keeping 'already got it' checklists (dedupe).;Over a lossy network you cannot guarantee a message arrives exactly once — you pick at-least-once plus idempotent processing to fake it.;Kafka 'exactly-once' = at-least-once delivery + idempotent producer + transactional offset commits;"Exactly-once processing — achievable via dedup and transactions; exactly-once DELIVERY over the wire is not."
858;Two Generals problem;Two hilltop generals sending riders through an enemy valley: 'attack at dawn' — 'confirm you got my confirm' — riders vanish, and dawn arrives with no certainty.;Two parties coordinating over a lossy channel can never reach certain agreement — every confirmation itself needs confirming, forever.;"TCP handshakes and acks mitigate but cannot solve it; hence timeouts, retries, and idempotency";"Byzantine generals — nodes may lie or act maliciously; Two Generals is only lost messages between honest parties."
859;Heartbeats & failure detection;Miners tapping the cave wall every minute: three missed taps and the crew seals the tunnel — sometimes on a miner who had only paused for lunch.;"Nodes prove liveness with periodic pings; miss enough and peers declare you dead — but a timeout can't distinguish crashed from slow.";"Raft: no heartbeat for 300ms starts an election; k8s liveness probe fails 3x and the container restarts";"Health checks — the platform actively asks 'can you serve?'; heartbeats are the node itself announcing 'still alive'."
860;Leader-follower replication;"A head chef alone allowed to write in the master cookbook; apprentice cooks copy each new page by carbon paper and answer diners' recipe questions.";All writes go to one leader, which streams its change log to followers serving reads — simple, but the leader is the write bottleneck.;"Postgres primary plus 2 read replicas via WAL shipping; writes to primary, SELECTs to replicas";"Multi-leader — several writers accepting writes and needing conflict resolution; single-leader avoids conflicts by funneling."
861;Sync vs async replication;"Dictating a will: the careful notary won't nod until the copyist finishes (sync); the hasty one nods instantly while the copyist trails behind (async) — then the courthouse burns.";"Sync waits for follower acknowledgment before confirming a write (no loss, higher latency); async confirms at once and risks losing recent writes.";"Postgres synchronous_commit=on waits for standby flush; async failover may lose the last commits";Semi-sync — waits for at least one follower, hedging durability against latency.
862;Replication lag;A stadium scoreboard on a ten-second delay: fans in the cheap seats cheer a goal the players scored while their own eyes still show 0-0.;Async followers apply the leader's log seconds late, so replica reads can return stale data — eventual, not immediate, consistency.;"Write to primary at t=0; replica applies at t=2s; a read at t=1s from the replica misses your write";"Cache staleness — an expired copy knowingly served; lag is the replica genuinely not having caught up yet."
863;Read-your-writes consistency;You pin a note to the office board, blink, and it's gone — the janitor swapped in yesterday's photo of the board. RYW law: after YOU pin, you're shown the real board.;A guarantee that a user always sees their own writes — route their reads to the leader or a caught-up replica for a window after writing.;After POST /comments, read from the primary for 10s, or require replica LSN >= your write's LSN;"Strong consistency for everyone — RYW only guarantees the writer sees their write; other users may still lag."
864;Quorums (W+R>N);Nine safety-deposit boxes: you drop the updated deed into five (W=5) and later open any five (R=5) — pigeonhole gods guarantee one box in your handful holds the newest deed.;With N replicas, writes acked by W and reads querying R overlap when W+R>N, so every read touches at least one up-to-date copy.;"N=3, W=2, R=2: 2+2>3 so reads overlap writes; W=1,R=1 is fast but can read stale";"Majority quorum in consensus — for electing and committing; read/write quorums tune per-operation consistency in Dynamo-style stores."
865;Sharding;"An encyclopedia too heavy for any shelf, sawed into A-F, G-M, N-Z volumes across three rooms — one entry is a quick fetch; 'every word with vowels' means visiting all rooms.";Split data horizontally across nodes by a partition key so each shard holds a subset — capacity scales, but cross-shard queries get hard.;"users sharded by user_id % 8 across 8 databases; a JOIN across shards becomes app-level scatter-gather";"Replication — copies of the SAME data for safety and reads; sharding is DIFFERENT slices for capacity."
866;Range sharding;"Filing cabinets labeled by alphabet span; the '2024-01' drawer glows red-hot because every new timestamped file crams into it while older drawers gather dust.";Partition by key ranges (A-F, G-M, ...) keeping sort order — efficient range scans, but sequential keys hammer one shard.;"HBase/Bigtable regions split by row-key range; timestamp keys mean all writes hit the newest region";"Hash sharding — spreads load evenly but shreds ordering; range keeps neighbors together at hotspot risk."
867;Hash sharding;A confetti cannon firing files into numbered bins by a die roll seeded on the filename: bins fill perfectly evenly, but 'give me A through C' means digging through all of them.;Route each key by hash(key) mod shards for uniform spread — hotspots vanish, but range queries must fan out to every shard.;"shard = crc32(user_id) % 16; 'users created this week' must query all 16 shards";"Range sharding — preserves order for scans; hashing trades scans for even load."
868;Consistent hashing;Guests around a circular table each grabbing the plate to their right: one guest leaves and only her neighbor picks up extra plates — nobody else moves. With mod-N, the whole table reshuffles.;"Keys and nodes hash onto a ring; each key belongs to the next node clockwise, so adding or removing a node remaps only ~1/N of keys.";"Cassandra/DynamoDB token rings with virtual nodes; memcached ketama client hashing";"hash mod N — one node change remaps nearly ALL keys; the ring localizes churn to neighbors."
869;Hot partitions;Twenty ticket windows, but Beyonce fans mob window 7 into meltdown while nineteen clerks nap — stapling random digits to her name (salting) splits the mob.;Skewed keys (a celebrity, one tenant, today's date) overload a single shard while siblings idle — fix with key salting, splitting, or caching.;"Fan-out for a 100M-follower account melts its partition; fix: key + random suffix 0-9 spreads it over 10";"General overload — all partitions hot means scale out; a hot partition is skew that more shards alone won't fix."
870;Timeouts everywhere;A diner with no rule for abandoned tables: ghosts who never order occupy every chair, and paying customers queue into the street — the kitchen starved by silence.;"Every remote call needs a deadline; without one, a hung dependency silently eats threads and connections until your own service dies.";"connect timeout 1s, request timeout 5s; the 'infinite' default in many HTTP clients is the real killer";"Retries — what to do AFTER a timeout; the timeout itself is the precondition that frees the resource."
871;Retries for transient faults;"Knocking again when a door didn't open — fine at a friend's house; catastrophic at a cashier who may have already charged your card behind the glass.";Re-attempt failed calls to ride out blips — but only retry idempotent operations or you duplicate effects, and always cap attempts.;"Retry GET/PUT on 503 up to 3 times; never blind-retry POST /charge without an idempotency key";"Retrying 4xx — client errors won't heal by repetition; retry only transient faults (timeouts, 429 after waiting, 5xx)."
