300;Function;A juicer bolted to the counter: fruit in the top, juice out the spout — same fruit, same juice, every pull of the lever.;A named, reusable block of code that takes inputs and produces an output when called.;def area(w, h): / return w * h / area(3, 4) # 12;Method — a function bound to an object, called via an instance (obj.f()) rather than free-standing.
323;map;A car-wash conveyor: every dirty car enters, the identical scrub hits each one, and the same count of clean cars rolls out in order.;Applies a function to every element of a sequence, producing a new sequence of results with the same length and order.;list(map(str.upper, ['a', 'b'])) # ['A', 'B'] / [x*x for x in nums] # Pythonic map;"filter — drops elements by a test; map transforms every element and never changes the count."
324;filter;A coffee filter: grounds stay trapped in the paper while only liquid that passes the mesh test drips into the pot below.;Keeps only the elements of a sequence for which a predicate function returns true, preserving their original order.;list(filter(lambda n: n % 2 == 0, nums)) / [n for n in nums if n % 2 == 0];"map — transforms each element; filter never alters elements, only rejects some."
325;reduce (fold);A snowball rolling downhill swallows flake after flake — each pass folds one more snowflake into the growing ball, and a single boulder arrives at the bottom.;Collapses a sequence to a single value by repeatedly combining an accumulator with each element using a binary function.;from functools import reduce / reduce(lambda acc, x: acc + x, [1, 2, 3, 4], 0) # 10;"sum/max/join — special-case reductions; reduce is the general fold behind them all."
326;Callback;"You leave your phone number at the bakery: 'call me back when the bread is out.' You walk away; THEY dial the number, not you.";A function you hand to other code to be invoked later, when an event fires or a task finishes.;button.on_click(save_draft) / fetch(url, on_done=parse);"Promise/Future — a value you await; a callback is code the framework calls into."
327;Function factory;A cookie-cutter press: feed in a shape parameter and the machine stamps out a new CUTTER you keep — this factory sells tools, not cookies.;A function that builds and returns new customized functions, baking configuration into each product via closure.;"def pow_of(n): return lambda x: x ** n / square = pow_of(2); cube = pow_of(3)";"Factory pattern (OOP) — returns objects; a function factory returns callables closed over config."
328;Decorator;A gift wrapper at a mall kiosk: your gift goes in unchanged and comes out in ribboned paper that greets (logs) whoever opens it. The @ sign is the bow.;"A higher-order function that wraps another to add behavior — logging, caching, auth — without editing its body; @name applies it.";@lru_cache / def fib(n): return n if n < 2 else fib(n-1) + fib(n-2);"Decorator pattern (OOP) — same idea with wrapper objects; Python decorators wrap once, at definition time."
329;Key function;A librarian sorts crates of books by scanning only the spine sticker her key function extracts — she never opens a single book.;A one-argument function given to sort/min/max that extracts each element's comparison value, separating ordering logic from data.;sorted(people, key=lambda p: p.age) / max(words, key=len);"Comparator (cmp) — takes two items and returns -1/0/1; a key maps each single item to a sortable proxy."
330;Pure function;A glass calculator sealed in a vacuum jar: press 2+2 and 4 lights up — no smoke escapes, no bell rings, nothing inside is different afterward.;A function whose output depends only on its arguments and which causes no observable side effects — same input, same output, always.;"def area(r): return 3.14159 * r * r # pure / def loud(r): print(r); return r * r # impure: I/O";"Deterministic function — same output for same input, but may still write files; purity also bans effects."
331;Side effect;A waiter takes your order and on the way to the kitchen quietly rearranges every table in the restaurant — your receipt looks normal, the room does not.;Any observable change a function makes beyond returning a value: mutating state, doing I/O, altering globals or its arguments.;def add_user(u): USERS.append(u) # mutates global / def save(x): db.write(x) # I/O;"Return value — the declared, visible output; side effects are the undeclared extra changes."
332;Referential transparency;A perfectly transparent sticker printed '42' laid over the expression on the page: read through it or read the label, the program means the same.;An expression can be replaced by its value anywhere without changing program behavior — the hallmark of purity.;y = f(2) + f(2) / y = 2 * f(2) # legal rewrite iff f is pure;"Purity — a property of functions; referential transparency is the property of expressions that purity buys."
333;Idempotence;An elevator button already glowing: mash it five more times and the elevator's plan does not change. The first press did everything.;"Applying an operation more than once has the same effect as applying it once — f(f(x)) == f(x); safe to retry.";"abs(abs(-5)) == abs(-5) / PUT /users/7 {name: 'Ann'} # retry-safe / s.add(3); s.add(3) # set unchanged";"Purity — no effects at all; an idempotent operation may have an effect, just one that never compounds."
334;Hidden inputs;A magician's 'empty' hat with a trapdoor to backstage: which rabbit he pulls depends entirely on who is crouching under the table tonight.;Sneaky dependencies — globals, clocks, randomness, environment — that vary a function's result while its parameter list looks innocent.;def greet(): return 'Hi ' + CURRENT_USER # global / def stamp(): return time.time() # clock;"Explicit parameters — visible in the signature; hidden inputs bypass it and break testability."
335;Memoization;"A barista scribbles your exact order on a memo stuck to the machine; next time you walk in, your cup is already waiting on the counter.";"Caching a function's results keyed by its arguments so repeat calls return instantly; only safe when the function is pure.";@lru_cache / def fib(n): return n if n < 2 else fib(n-1) + fib(n-2) / fib(300) # instant on repeat;"I/O caching — stores fetched data blocks; memoization stores computed results per argument tuple."
336;Purity aids testing;Testing a padlock on a bare table: key in, click, done — versus testing a house alarm that needs the whole house wired, armed, and a stunt burglar hired.;Pure functions need no mocks, setup, or teardown — pass arguments, assert on the return value, done.;assert price_with_tax(100, 0.2) == 120 # no db, no mocks, no fixtures;"Integration tests — exercise wiring and effects; purity shrinks tests to input/output checks."
337;Purity aids parallelism;A thousand chefs, each with their own cutting board and own onion: no shared pan, so nobody queues and no elbows collide — dinner in one chop.;With no shared mutable state or effects, pure calls can run in any order or simultaneously — no locks, races, or coordination.;pool.map(render_tile, tiles) # safe: render_tile is pure;"Locking — serializes access to shared state; purity removes the shared state entirely."
338;Command-query separation;"A library with two desks: the silent reading desk only answers questions; the stamping desk only stamps and never speaks. The clerk who does both loses books.";Each function should either perform an effect (command, returns nothing) or answer a question (query, changes nothing) — never both.;"items.pop() # violates CQS: mutates AND returns / top = items[-1]; del items[-1] # split";"CQRS — an architecture-level split of read and write models; CQS is the function-level rule."
339;Functional core, imperative shell;"An egg: the golden yolk (pure logic) never touches the world; only the shell meets the carton, the pan, and your dirty hands.";Put decisions in a pure core and push all I/O and mutation to a thin outer shell that feeds the core and enacts its results.;data = read_file(p) # shell / plan = decide(data) # pure core / write_file(q, plan) # shell;Hexagonal architecture — the same spirit at system scale, with ports and adapters at the edges.
340;Immutability;Words carved in granite: to fix a typo the mason carves an entirely new slab, and the old stone stands unchanged in the plaza forever.;"Once created, a value never changes; any 'modification' produces a new value, eliminating aliasing and concurrency bugs at the root.";"s = 'cat' / s.upper() # returns 'CAT'; s is still 'cat' / (1, 2)[0] = 9 # TypeError";Constant/final binding — the name cannot be rebound, but the object it points to may still mutate.
341;Value semantics;A photocopier bolted to the office doorway: every document handed through comes out a fresh copy, so scribbling on yours never defaces mine.;Assignment and passing copy the VALUE, so no two names can share mutable state - what you hold is yours alone, as with ints and strings.;"a = 5; b = a; b += 1  # a still 5 / C++: vector<int> v2 = v1;  // independent copy";"vs reference semantics / aliasing (099): references share one object; values are independent copies"
342;Immutable collections;"A museum case of butterflies pinned under glass: anyone may look, photograph, and pass it around the room; nobody's fingers get inside.";Collection types that reject all in-place modification — tuple, frozenset, frozen dataclasses — making them safely shareable and hashable.;"point = (3, 4) / fs = frozenset({1, 2}); fs | {3} # new set / @dataclass(frozen=True)";"Read-only view — a window onto data someone else may still mutate; immutable collections cannot change at all."
343;Freeze and readonly;A flash-freeze ray zaps a wriggling octopus solid mid-gesture: poke all you want, no tentacle budges — but the frost is only skin-deep (shallow).;Language switches that lock existing objects or fields against writes — Object.freeze in JS, readonly in TS/C#, final fields in Java.;"const cfg = Object.freeze({port: 80}); / cfg.port = 99; // ignored (throws in strict) / cfg.nested.x = 1; // still works: shallow!";"const (JS) — freezes the binding, not the object; a const object's fields stay writable without freeze."
344;Defensive copy;"The museum hands visitors a replica sword to swing around while the real blade stays in the vault; scratch the copy all you like.";Copy mutable data at trust boundaries — going into and out of your object — so outsiders holding a reference cannot mutate your internals.;def __init__(self, tags): / self._tags = list(tags) # copy in / def tags(self): return list(self._tags) # copy out;"Immutable types — make copying unnecessary; defensive copies are the workaround when stuck with mutables."
345;Shallow vs deep copy;"Photocopying a binder of house keys: the shallow copy reproduces the pages but the taped-on keys still open the ORIGINAL doors; the deep copy re-cuts every key.";"A shallow copy duplicates only the outer container, still sharing inner objects; a deep copy recursively duplicates everything.";import copy / b = copy.copy(a) # inner lists shared / c = copy.deepcopy(a) # fully independent;"Assignment (b = a) — copies nothing, just adds a name; even a shallow copy makes a new outer object."
346;Non-destructive update;A film editor never cuts the negative: every edit prints a fresh reel with one scene swapped, and the archive keeps every prior version.;Produce a modified copy instead of mutating in place — spread syntax, dataclasses.replace — leaving the original intact for other holders.;new = {**old, 'port': 8080} / p2 = dataclasses.replace(p, x=5) / nums2 = nums + [7];In-place mutation — cheaper, but changes the value under every alias simultaneously.
347;Structural sharing;Two treehouses in the same living oak: the new one adds a single fresh branch and plank, and both stand safely on the same old trunk.;New versions of immutable structures reuse the unchanged parts of the old one, so a 'copy' costs only the changed path, not the whole.;"new = old.set_in('user.name', 'Ann') / # only that path rebuilt; ~99% of nodes shared";"Shallow copy — also shares innards, but mutable ones; sharing is only safe because the parts cannot change."
348;Persistent data structures;A video game save-tree: every move spawns a new save slot, and you can reload any past save forever — storage barely grows because saves share the world.;Immutable collections where every update returns a new version and all old versions remain valid and cheap, via structural sharing.;v2 = v1.append(42) # Clojure/pyrsistent vector / v1 # the old sequence, untouched and usable;"'Persistent' as saved-to-disk — unrelated; here it means old versions persist in memory."
349;Copy-on-write;Roommates share one streaming profile until the day one rates a movie — at that click the account instantly splits into two profiles so the stain lands on theirs alone.;Share one underlying buffer between 'copies' and physically duplicate it only at the moment someone first writes.;pid = os.fork() # memory pages shared until a write / df2 = df.copy() # pandas CoW: real copy deferred;"Eager defensive copy — pays the duplication cost up front; CoW defers it and often never pays."
350;Function composition;Three garden hoses screwed end to end: water enters the far nozzle and passes through every segment before hitting the roses. Compose reads right-to-left — water enters at the LAST hose named.;Combining functions so one's output feeds the next — compose(f, g)(x) = f(g(x)) — building big behavior from small parts.;compose = lambda f, g: lambda x: f(g(x)) / slug = compose(str.lower, str.strip) / slug(' HeLLo ') # 'hello';"Pipe — the same chaining written left-to-right in reading order; compose is right-to-left math order."
351;Pipe;A water slide with three drops in the order you will actually fall: from the ladder you can narrate your whole ride top to bottom.;Left-to-right composition: pipe(f, g, h)(x) runs f first, reading in execution order — x |> f |> g in Elixir and F#.;"""hello"" |> String.upcase |> String.reverse # Elixir: OLLEH";compose — identical chaining, opposite reading order (right-to-left).
352;Unix pipe analogy;"A sushi conveyor through three chefs' stations — one slices, one rolls, one wraps; no chef knows the others exist, the belt is the only contract.";Shell pipelines are function composition over text streams: each small program reads stdin, transforms, writes stdout.;cat log.txt | grep ERROR | sort | uniq -c | head;"Method chaining — flows through one object's API; unix pipes connect independent programs via a byte stream."
353;Point-free style;A conductor wearing fingerless mittens sewn shut: the music flows through the whole orchestra though no finger ever points at any player (no argument named).;Defining functions purely by composing others, never naming the data argument — 'point' is the argument, from topology.;sumSquares = sum . map (^2) -- Haskell: no xs anywhere / -- vs sumSquares xs = sum (map (^2) xs);"Pointer-free memory — unrelated; the 'point' being dropped is the function's argument."
354;Arity;An airy ('AR-ity') pipe organ where each pipe has a fixed number of finger holes — one, two, or three — and sounds only when exactly that many fingers press.;"The number of arguments a function accepts: unary takes 1, binary 2, ternary 3; variadic means the count is unfixed.";len(x) # arity 1 / pow(x, y) # arity 2 / print(*args) # variadic;"Parity — one-letter neighbor; arity counts parameters, parity classifies integers as odd or even."
355;Partial application;"A half-built sandwich behind the counter — bread and cheese already on, wrapped with a sticky note 'awaiting meat'; hand over the last ingredient any day and lunch completes.";Fixing some of a function's arguments now to get a new function of smaller arity awaiting the rest.;from functools import partial / log_err = partial(log, level='ERROR') / log_err('disk full');"Currying — restructures a function to take arguments one at a time; partial just pre-fills some now."
356;Currying;"A curry house that accepts one spice at a time: hand over cumin and get back a chef who now wants coriander; only after the final spice does dinner appear.";Transforming an n-argument function into a chain of one-argument functions: f(a, b, c) becomes f(a)(b)(c).;curried = lambda a: lambda b: lambda c: a + b + c / curried(1)(2)(3) # 6;"Partial application — pre-fills some args of a normal function once; currying rebuilds it into unary steps."
357;Method chaining;A charm bracelet assembled without ever being set down: each jeweler clips on one charm and hands the same bracelet to the next pair of hands.;Each method returns an object (self or a new value) so calls string together in one fluent left-to-right expression.;' Hello '.strip().lower().replace('l', 'r') / df.dropna().groupby('c').sum();Pipeline of free functions — same shape, but chaining requires the methods to live on the returned object.
358;Pipeline of small functions;A mint's coin line under glass — blank, stamp, ridge, polish: visitors watch a coin be born and can point at exactly which station made a dent.;Solve problems as a series of tiny named stages, each testable alone, so the top level reads like a recipe of verbs.;"clean = normalize(strip_html(load(path))) / tokens = tokenize(clean); index(tokens)";God function — one 300-line body doing every stage inline, untestable in pieces.
359;Identity function;A revolving door standing alone in an open field: you walk in, spin once, and step out exactly where and who you were — installing it changes no journey.;The function that returns its argument unchanged — the do-nothing unit of composition, a useful default and placeholder.;identity = lambda x: x / sorted(nums, key=identity) # same as no key / compose(f, identity) == f;"No-op procedure — returns nothing and composes with nothing; identity returns its input so pipelines can thread it."
360;Lazy evaluation;A restaurant that cooks nothing until a fork is raised: its 'infinite menu' is possible because dish number 40,000 exists only as an unfired recipe card.;"Delay computing a value until it is actually needed, enabling infinite structures and skipping unused work; eager computes immediately.";gen = (x*x for x in range(10**12)) # instant / next(gen) # only now does any work happen;"Async — about waiting on I/O without blocking; laziness is about deferring computation until demanded."
361;Iterator protocol;"A Pez dispenser: thumb the head (next) and one candy clicks out; when it is empty the head snaps back with a hard STOP click.";"An iterator yields items one at a time via __next__ and raises StopIteration when done; for-loops speak this protocol under the hood.";"it = iter([1, 2]) / next(it); next(it) / next(it) # StopIteration";"Iterable — anything that can produce an iterator via __iter__; the iterator is the stateful cursor itself."
362;Iterable vs iterator;"The iterable is the jukebox catalog; each coin mints a fresh playhead (iterator) that sweeps the records once and dies. The catalog never wears out.";"An iterable is a factory of iterators (list, str, dict); an iterator is a one-way cursor with position state and is its own iterable.";lst = [1, 2, 3] # iterable: loop many times / it = iter(lst) # iterator: single pass / list(it), list(it) # [1, 2, 3], [];"Generator — one convenient way to make an iterator; iterable-vs-iterator is the general contract."
363;Generator function;A bard who freezes mid-sentence the instant he hands you a verse — statue-still, wine glass raised — and thaws exactly there when you tap his shoulder for the next line.;A function containing yield: calling it returns a generator, and each next() resumes the body until the next yield, pausing in place.;"def countdown(n): / while n: yield n; n -= 1 / list(countdown(3)) # [3, 2, 1]";"return — ends the function forever with one value; yield emits one value and suspends, keeping locals alive."
364;Generator expression;"The list comprehension prints the entire phone book; the genexp is the same clerk who whispers you one number each time you lean in — the building never fills with paper.";Comprehension syntax in parentheses producing a lazy generator instead of a list in memory: (f(x) for x in xs).;sum(x*x for x in range(10**8)) # tiny memory / [x*x for x in range(10**8)] # gigabytes;"List comprehension — brackets, materializes everything now; a genexp computes items on demand, once."
365;Infinite sequences;"A scarf knitting itself off the needles forever; grandma just scissors off two meters when winter comes. The rest exists only as intention.";Laziness lets you define endless streams — counters, cycles, primes — and take only what you need with islice or takewhile.;from itertools import count, islice / evens = (n for n in count() if n % 2 == 0) / list(islice(evens, 5)) # [0, 2, 4, 6, 8];"Infinite loop bug — spins without yielding control; an infinite generator politely pauses between items."
366;Generator pipeline;An IV drip through three inline filters: one drop travels the entire line before the next drop leaves the bag — no bucket ever fills between stages.;Chain generators so each item flows through every stage one at a time — constant-memory streaming over data of any size.;lines = open('huge.log') / errs = (l for l in lines if 'ERROR' in l) / first = islice((l.upper() for l in errs), 10);"Chained list map/filter — each stage builds a full list; generator stages hold one item at a time."
367;One-shot exhaustion;A sparkler: dazzling as it burns down the wire, then a dead gray stick — wave it again and there is no error, just no light.;"An iterator or generator can be consumed only once; after the pass it stays empty, and re-looping silently yields nothing.";g = (x for x in [1, 2, 3]) / sum(g) # 6 / sum(g) # 0 — silently empty!;"List re-iteration — lists restart fresh on every loop; a generator keeps its spent cursor forever."
368;itertools toolbox;A plumber's belt of odd brass fittings: one splices two streams into one (chain), one cuts a viewing window (islice), one loops a hose back into itself (cycle).;Python's standard kit of lazy iterator combinators — count, cycle, chain, islice, takewhile, groupby — for composing streams.;from itertools import chain, islice, cycle / list(islice(cycle('AB'), 5)) # A B A B A / list(chain([1, 2], [3])) # [1, 2, 3];"functools — tools acting on functions (partial, reduce, lru_cache); itertools acts on iterators."
369;Thunk;A mousetrap holding a computation: nothing whatsoever happens until you poke it and it goes THUNK — then, and only then, the cheese math springs.;"A zero-argument function wrapping an expression to delay its evaluation; calling the thunk forces the value — laziness by hand.";thunk = lambda: expensive(42) / # ...later, only if needed: / value = thunk();"Promise/Future — represents work already started elsewhere; a thunk starts no work until called."
370;Algebraic data type;"Algebra class taught with food: a combo meal is pizza AND soda (product); the daily special is pizza OR pasta OR soup (sum). Menus are algebra.";A type built by combining others two ways: AND (product: this field and that) or OR (sum: this variant or that).;type Shape = Circle(r) | Rect(w, h) # a sum of products;"Abstract data type (also ADT) — an interface hiding implementation; algebraic types are about value shape."
371;Product type;A bento box with every compartment filled at once — rice AND fish AND pickles. The menu multiplies: 3 rices times 4 fishes is 12 possible boxes.;"A type whose values hold one of each field simultaneously — tuples, records, structs; its value count is the product of field counts.";Point = namedtuple('Point', 'x y') / p = Point(3, 4) # has both fields, always;"Sum type — holds exactly one variant at a time; a product holds all fields at once."
372;Sum type;A railroad switch: the train sits on exactly one track at any moment, and the big lever's tag tells you which — never straddling two rails.;"A type whose value is exactly one of several tagged variants — enums with payloads, tagged unions; value count is the sum of the variants'.";"enum Shape { Circle(f64), Square(f64) } // Rust / let s = Shape::Circle(2.0);";Untagged C union — the same memory trick without the tag, so you cannot safely ask which variant is live.
373;Destructuring;A chocolate orange: one sharp twist and it falls apart into labeled segments that land in your named, cupped fingers.;Binding names to pieces of a structure in one pattern-shaped assignment — unpacking tuples, dicts, or objects by their shape.;"x, y = (3, 4) / first, *rest = [1, 2, 3, 4] / const {id, ...extra} = row; // JS";"Pattern matching — destructuring plus conditional dispatch; destructuring alone assumes the shape fits."
374;Match expression;A coin sorter with shaped slots: each falling value tumbles past star, square, and circle holes and drops through the first hole shaped like itself, into that arm's bucket.;A control structure that tests a value against shape patterns, binds their pieces, and runs the first matching arm.;match cmd: / case ('move', x, y): go(x, y) / case ('quit',): bye();"switch/case — compares equality against constants; match tests nested structure and binds variables."
375;Pattern guards;"The nightclub bouncer checks your outfit (pattern) AND scans your ID under UV light (guard); dressed right with a fake ID, you fall through to the next bouncer down the line.";An extra boolean condition on a match arm — case pattern if test — so the arm needs both the shape and a truth to fire.;match point: / case (x, y) if x == y: print('diagonal') / case (x, y): print('off-diagonal');"Nested if inside the arm — runs after committing to the arm; a failed guard falls through to later arms."
376;Wildcard pattern;A joker card at the bottom of the deck that impersonates any card slapped onto it, but has amnesia — it never remembers what it matched.;The catch-all pattern (_ in most languages) that matches anything without binding a name — the match's final safety net.;match code: / case 200: ok() / case _: raise Unknown(code);"Named catch-all (case x) — also matches everything but binds the value; _ deliberately discards it."
377;Exhaustiveness checking;"A pre-flight clipboard that refuses takeoff until every seat is ticked; bolt a new row onto the plane and every old clipboard in the fleet starts flashing red.";The compiler proves your match handles every variant of a sum type, so each newly added variant turns unfixed matches into errors.;// Rust / match light { Red => stop(), Green => go() } / // error: non-exhaustive — Yellow not covered;"Default arm — silences the checker forever; exhaustiveness is compile-time proof precisely because there is no default."
378;Make illegal states unrepresentable;A one-way turnstile forged so its gears physically cannot spin backwards: no 'do not enter' sign needed — the wrong motion does not exist in the machine.;Design types so invalid combinations simply cannot be constructed — the type system, not runtime checks, excludes nonsense.;# bad: is_loading, data, error can conflict / # good: / State = Loading | Loaded(data) | Failed(err);"Validation — rejects bad values at runtime borders; this removes the bad values from the type universe."
379;Newtype pattern;Identical white pills repackaged into loudly labeled bottles — ASPIRIN vs RAT POISON: the pharmacist physically cannot pour one bottle against the other's prescription.;Wrap a primitive in a distinct zero-cost type — UserId(int), Meters(float) — so the compiler stops you mixing semantically different values.;"struct Meters(f64); struct Feet(f64); / fn climb(h: Meters) { ... } / climb(Feet(3.0)) // compile error";"Type alias — just a nickname the compiler sees through; a newtype is a genuinely distinct type."
380;Errors as values;Instead of the kitchen shrieking a fire alarm through the whole restaurant, the waiter lays a small red card on your table: 'no fish today' — you must pick it up to see the plate beneath.;Return failures as ordinary data the caller must handle, instead of throwing exceptions that teleport control up the stack.;val, err := parse(s) // Go / if err != nil { return nil, err };"Exceptions — nonlocal control flow invisible in signatures; error values appear right in the return type."
