code,concept,definition,anchor,example,confusables,alternates,domain_name,category_name,mnemonic,learned
010,Variable,"A variable is a name bound to a value or storage location, letting code refer to data that can change over time.","A dog tag engraved 'x' on a collar: today it's buckled on a terrier, tomorrow you unbuckle it and strap it on a greyhound - same tag, different dog.","x = 5; x = ""now a string"" # Python retags the name",Value - the value is the data; the variable is a reusable name pointing at it.,A whiteboard slot with an erasable label,Programming fundamentals,"Variables, bindings & scope basics","0 is the empty origin: null, zero, the blank slate every program starts from",0
011,Declaration,A declaration introduces a name (often with a type) to the compiler; assignment later stores a value into it.,"A maitre d' writes 'x' on a reservation card and sets it on an empty table: the seat now exists and is claimed, but nobody is sitting in it yet.",C: int x; // declared / x = 5; // assigned / JS: let x;,Assignment - declaration creates the name; assignment fills it; 'int x = 5' does both at once.,Staking a claim flag on an empty plot,Programming fundamentals,"Variables, bindings & scope basics","0 is the empty origin: null, zero, the blank slate every program starts from",0
012,Assignment,"Assignment stores a value into a variable with =, replacing what the name held; it is an action, not an equation.","A one-way conveyor belt feeding a bin labeled x: whatever sits on the right end rolls left into the bin, shoving the old contents out the back. Nothing ever flows rightward.","x = x + 1 # read old value, store new - not algebra","Equality test - = assigns, == compares; classic C bug: if (x = 5) is always true.",A crane swapping the crate on pallet x,Programming fundamentals,"Variables, bindings & scope basics","0 is the empty origin: null, zero, the blank slate every program starts from",0
013,Initialization,"Initialization gives a variable its first value; reading before it happens yields garbage (C), an error (Python), or a zero default (Go).",A hotel room before its first housekeeping pass: in C the bed still holds the previous stranger's leftover junk; in Go the sheets arrive factory-zeroed.,"C: int x; printf(""%d"", x); // garbage / Go: var x int // 0",Declaration - declaring makes the name exist; initializing gives it its first value.,Cracking the seal on a new jar,Programming fundamentals,"Variables, bindings & scope basics","0 is the empty origin: null, zero, the blank slate every program starts from",0
014,Naming conventions,"Case conventions (snake_case, camelCase, PascalCase, SCREAMING_SNAKE) encode a name's role; good names reveal intent.","A zoo lineup: a snake slithering flat between words (snake_case), a camel with a hump rising mid-name (camelCase), and a rearing all-caps SCREAMING snake guarding the constants cage.","user_count (var), MAX_RETRIES (const), UserAccount (class)",Keywords - keywords like if/for are reserved by the language and can't be used as names at all.,Name badges in different fonts per department,Programming fundamentals,"Variables, bindings & scope basics","0 is the empty origin: null, zero, the blank slate every program starts from",0
015,Constant,"A constant is a binding that cannot be reassigned after initialization - const, final, or ALL_CAPS convention in Python.","A name pressed into wet cement that has since hardened: painters keep arriving with new names, but every brush bounces off the slab.",JS: const PI = 3.14159; / Python: MAX_SIZE = 100 # convention only,"Immutable value - const stops rebinding the name; the object it points to may still mutate (JS const arr, arr.push ok).",A museum piece bolted to its pedestal,Programming fundamentals,"Variables, bindings & scope basics","0 is the empty origin: null, zero, the blank slate every program starts from",0
016,Local scope,"A local variable exists only inside the function or block that declares it, unrelated to same-named variables elsewhere.","A Vegas hotel room where what happens in the function stays in the function: the moment you step out the door, every piece of furniture inside evaporates.",def f(): x = 1 # x dies at return / print(x) # NameError,Lifetime - scope is where the name is visible; lifetime is when the storage exists.,A snow globe whose contents can't leave the glass,Programming fundamentals,"Variables, bindings & scope basics","0 is the empty origin: null, zero, the blank slate every program starts from",0
017,Global scope,"A global variable is visible throughout a module or program; any code can mutate it, creating hidden coupling and spooky action.","A single town bulletin board bolted in the square with a megaphone chained to it: anyone can stroll up, repaint the board, and every reader downstream sees the graffiti.",count = 0 / def inc(): / global count; count += 1,"Module scope - Python 'globals' are per-module namespaces, not one program-wide pool.",A shared office fridge everyone edits,Programming fundamentals,"Variables, bindings & scope basics","0 is the empty origin: null, zero, the blank slate every program starts from",0
018,Shadowing,"Shadowing is an inner-scope variable reusing an outer name, hiding the outer binding until the inner scope ends.","An eclipse: the small inner moon named x slides in front of the huge outer sun named x. The sun still burns behind it, untouched and invisible, until the moon moves on.",x = 1 / def f(): x = 2; print(x) # 2 / f(); print(x) # outer x still 1,Reassignment - reassignment changes the same binding; shadowing creates a new binding that hides the old one.,A sticky note slapped over a wall plaque with the same word,Programming fundamentals,"Variables, bindings & scope basics","0 is the empty origin: null, zero, the blank slate every program starts from",0
019,Variable lifetime,Lifetime is how long a variable's storage exists: locals die at function return; statics and globals live for the whole program.,"A mayfly hatches at the opening brace and drops dead at the closing brace, while the granite statue in the global park watches generations of mayflies come and go.",C: return &local; // bug: storage dies at return,"Scope - scope is spatial (where visible), lifetime is temporal (how long stored); closures let lifetime outlast scope.",A parking meter that expires exactly at the closing brace,Programming fundamentals,"Variables, bindings & scope basics","0 is the empty origin: null, zero, the blank slate every program starts from",0
020,Expression vs statement,"An expression evaluates to a value (2+3, f(x)); a statement performs an action (if, while, Python assignment) and yields none.",A vending machine beside a doorman: feed the expression machine coins and a value clunks into the tray; the statement doorman just does something and hands you nothing.,2 + 3 # value 5 / x = 5 # Python statement: no value,Expression languages - in Rust/Lisp almost everything yields a value; the test is always 'does it produce one?',A calculator vs a light switch,Programming fundamentals,Operators & expressions,"0 is the empty origin: null, zero, the blank slate every program starts from",0
021,Operator precedence,Precedence decides which operator binds tighter without parentheses: 2+3*4 is 2+(3*4)=14 because * outranks +.,"A military mess line: the general (*) muscles in and grabs his operands off the tray first, and the private (+) is only allowed to take what's left.",2 + 3 * 4 -> 14; (2 + 3) * 4 -> 20,Associativity - precedence orders different operators; associativity breaks ties among equal ones.,Playing cards where trumps capture first,Programming fundamentals,Operators & expressions,"0 is the empty origin: null, zero, the blank slate every program starts from",0
022,Associativity,Associativity resolves equal-precedence ties: left-assoc 10-4-3 = (10-4)-3 = 3; right-assoc 2**3**2 = 2**(3**2) = 512.,"Tug-of-war between identical twins: the minus twins always drag the rope leftward, evaluating from the left, while the exponent twins yank everything to the right.",10 - 4 - 3 -> 3 (left); 2 ** 3 ** 2 -> 512 (right),Precedence - precedence ranks different operators; associativity only kicks in between equals.,Dominoes falling left-to-right vs right-to-left,Programming fundamentals,Operators & expressions,"0 is the empty origin: null, zero, the blank slate every program starts from",0
023,Short-circuit evaluation,and/or stop evaluating once the outcome is known: False and f() never calls f - enabling guards like x != 0 and 1/x.,"A circuit breaker that trips at the first False: current never reaches the second bulb, so it stays dark and its side effects never fire at all.",x != 0 and 10/x > 1 # division skipped when x == 0,Bitwise & and | - these always evaluate both operands and never short-circuit.,A relay race where the second runner never starts if the first drops the baton,Programming fundamentals,Operators & expressions,"0 is the empty origin: null, zero, the blank slate every program starts from",0
024,Ternary conditional operator,"The conditional expression picks one of two values inline: cond ? a : b in C, 'a if cond else b' in Python - an if that returns a value.","A railroad Y-switch inside a vending machine: pulling the question-mark lever flips the track, and exactly one of the two snack cars rolls out into the tray.","label = ""even"" if n % 2 == 0 else ""odd""",if statement - the ternary is an expression yielding a value; if is a statement executing branches.,A fork-shaped drinking straw with a valve,Programming fundamentals,Operators & expressions,"0 is the empty origin: null, zero, the blank slate every program starts from",0
025,Equality vs identity,== asks 'same value?'; is (Python) asks 'same object?': [1]==[1] is True but [1] is [1] is False; JS === adds strict type+value.,"Identical twins at passport control: they == perfectly - same face, same coat - but the officer takes fingerprints ('is') and finds two different people.",a = [1]; b = [1] / a == b # True / a is b # False,"JS === - strict value+type equality, still not object identity; JS == coerces types before comparing.",Two photocopies vs the same sheet of paper,Programming fundamentals,Operators & expressions,"0 is the empty origin: null, zero, the blank slate every program starts from",0
026,Bitwise operators,"Bitwise ops (& | ^ ~ << >>) act on each bit of an integer: & masks flags, << n multiplies by 2^n, ^ toggles bits.",A row of eight tiny light switches worked with tweezers; the AND operation slides a cardboard stencil mask over the row so only the cut-out switches stay visible.,5 & 3 -> 1; 1 << 4 -> 16; flags |= READ,Logical and/or - logical ops take whole truth values and short-circuit; bitwise ops pair up individual bits.,A punch-card and its overlay template,Programming fundamentals,Operators & expressions,"0 is the empty origin: null, zero, the blank slate every program starts from",0
027,Operator overloading,"Overloading lets user types define what operators mean (__add__), so + adds ints, concatenates strings, or merges vectors.","The plus sign as a moonlighting actor: by day it adds numbers, by night it puts on a wig and glues strings together - same symbol, script chosen by the operands' type.","class Vec: / def __add__(self, o): return Vec(self.x+o.x, self.y+o.y)",Coercion - coercion changes operand types to fit an operator; overloading changes what the operator does for a type.,A Swiss Army knife blade that morphs per material,Programming fundamentals,Operators & expressions,"0 is the empty origin: null, zero, the blank slate every program starts from",0
028,Increment operators & side effects,"i++ yields the old value, ++i the new; side-effecting operators buried in larger expressions breed undefined or confusing order.","Two subway turnstiles: the post-increment gate prints your ticket before it clicks the counter; the pre-increment gate clicks first, then prints. Chain several in one corridor and the tally comes out scrambled.","C: i = 5; j = i++; // j==5, i==6 / j = ++i; // j==7","Python - Python has no ++; ++x parses as double unary plus, a silent no-op.",A deli ticket dispenser that stamps before or after advancing,Programming fundamentals,Operators & expressions,"0 is the empty origin: null, zero, the blank slate every program starts from",0
029,Compound assignment,"Compound assignment (x += y) reads, combines, and stores back in one step; on mutables it may mutate in place (list += extends).","A snowball that rolls back into its own bin: scoop the bin's snow, pack fresh snow onto it, and drop the bigger ball back in the same bin - one continuous motion.","x += 1 / lst += [4] # mutates lst in place / tup += (4,) # rebinds","x = x + y - for lists, x += y extends in place; x = x + y builds a new list and rebinds the name.",A bank account compounding interest onto itself,Programming fundamentals,Operators & expressions,"0 is the empty origin: null, zero, the blank slate every program starts from",0
030,if statement,if evaluates a condition and runs its block only when true - the primal branch that lets programs make decisions.,A fork in a hiking trail guarded by a troll who asks one yes/no question: answer true and the side gate swings open; answer false and you walk straight past it.,"if age >= 18: / print(""adult"")",Ternary expression - if is a statement that executes code; the ternary is an expression producing a value.,A drawbridge that lowers only for the password,Programming fundamentals,Control flow: branching,"0 is the empty origin: null, zero, the blank slate every program starts from",0
031,else / elif chain,"else runs when the if failed; an elif chain tests top-down and executes only the first true branch, skipping the rest.","A hallway of nightclub doors, each with a bouncer: the first bouncer who nods pulls you into his room and the rest never see you. The last door, else, has no bouncer at all.",if x < 0: sign = -1 / elif x == 0: sign = 0 / else: sign = 1,Sequential ifs - separate ifs can all fire; an elif chain fires at most one branch.,A coin sorter where each slot catches what fits first,Programming fundamentals,Control flow: branching,"0 is the empty origin: null, zero, the blank slate every program starts from",0
032,switch & fallthrough,switch jumps to the case matching a value; in C-family languages execution falls through into the next case unless break stops it.,"A pinball drops into its numbered hole - but the holes have no floors, so it keeps crashing down through case after case until it lands on a 'break' trampoline.","switch(n){ case 1: puts(""one""); /* falls through! */ / case 2: puts(""two""); break; }",match - pattern matching destructures and binds; switch compares one scalar against constants.,An elevator with missing floor stops,Programming fundamentals,Control flow: branching,"0 is the empty origin: null, zero, the blank slate every program starts from",0
033,Pattern matching (match/case),"match/case tests a value against structural patterns, destructuring it and binding named parts - matching shapes, not just equality.","A toddler's shape-sorter box: the parcel drops through the first hole whose silhouette fits, and the hole's teeth strip off labeled pieces (x, y) as it passes through.","match p: / case Point(x=0, y=y): print(f""on axis at {y}"")",switch - switch checks equality against constants; match matches structure and binds variables.,A cookie-cutter conveyor stamping and sorting dough,Programming fundamentals,Control flow: branching,"0 is the empty origin: null, zero, the blank slate every program starts from",0
034,Guard clause,"A guard clause handles invalid or edge cases with an early return at the top, keeping the happy path flat and unindented.","A castle guard turning away invalid visitors right at the moat's edge, so the great hall stays uncluttered - impostors never get escorted through every room first.","def f(user): / if user is None: return None / # happy path, unindented",Nested validation - nesting wraps the happy path inside every check; guards eject failures first.,An airport security line before the terminal,Programming fundamentals,Control flow: branching,"0 is the empty origin: null, zero, the blank slate every program starts from",0
035,Truthiness,"Truthiness lets non-booleans act as conditions: 0, """", [], None are falsy in Python; JS adds NaN but makes [] truthy.",A bouncer who weighs values on a butcher's scale instead of checking IDs: empty boxes and zeros are too light and get bounced; anything with stuff inside walks in.,if items: / process(items) # skipped when list is empty,Explicit None check - 'if x:' misfires when 0 or empty is valid data; use 'if x is not None:' for presence.,A metal detector that beeps for any nonzero content,Programming fundamentals,Control flow: branching,"0 is the empty origin: null, zero, the blank slate every program starts from",0
036,De Morgan's laws,"not (A and B) == (not A) or (not B), and dually; pushing not inward flips and/or, simplifying negated conditions.",Mr. De Morgan throws a NOT-blanket over two kids holding an AND rope: under the blanket the rope morphs into an OR chain and each kid wakes up wearing negated pajamas.,not (a and b) == (not a or not b) / not (a or b) == (not a and not b),Distributive law - De Morgan flips the connective while negating; distribution expands and-over-or without negation.,A photo negative swapping AND gates for OR gates,Programming fundamentals,Control flow: branching,"0 is the empty origin: null, zero, the blank slate every program starts from",0
037,Nesting depth,"Deeply nested conditionals (the arrow anti-pattern) hide logic; flatten with guard clauses, early returns, or extracted functions.","Code shaped like an arrowhead of Russian dolls: to reach the else at the tip you pry open five dolls, and by the third you have forgotten what the first one held.",if a: / if b: / if c: do() # -> invert: if not a: return ...,Cyclomatic complexity - complexity counts branch paths overall; nesting depth measures indentation layers.,A hedge maze where each turn narrows the corridor,Programming fundamentals,Control flow: branching,"0 is the empty origin: null, zero, the blank slate every program starts from",0
038,Dangling else,"In brace-free if-if-else, the else binds to the nearest unmatched if - not the one your indentation suggests.",An orphaned else dangling off a cliff face grabs the ankle of the nearest if climbing above it - never the far one your rope diagram (indentation) pointed to.,C: if(a) if(b) f(); else g(); // else pairs with if(b),Python - mandatory indentation makes the pairing explicit; the ambiguity lives in brace languages.,A lost puppy following the closest passerby home,Programming fundamentals,Control flow: branching,"0 is the empty origin: null, zero, the blank slate every program starts from",0
039,Dispatch table,"A dict mapping values to handler functions replaces long if/elif chains: selection becomes data, and adding a case is adding an entry.","A hotel key rack: the clerk reads your room number, grabs the one hook that matches, and hands you the function hanging on it - no questions asked down a hallway of ifs.","handlers = {'GET': do_get, 'POST': do_post} / handlers[method](request)",vs switch (032): switch is control flow fixed in source; a dispatch table is data you can build and mutate at runtime,a telephone switchboard operator plugging calls,Programming fundamentals,Control flow: branching,"0 is the empty origin: null, zero, the blank slate every program starts from",0
040,Loop,"A loop repeats a block while a condition holds, running the same statements many times over changing state.","A stone waterwheel turning in a stream: every revolution scoops with the same buckets, but the water in them is new on every pass.",while items: / process(items.pop()),Recursion - recursion repeats via self-calls and a growing call stack; a loop repeats in one frame with mutable state.,A record player needle stuck in a groove,Programming fundamentals,Control flow: iteration,"0 is the empty origin: null, zero, the blank slate every program starts from",0
041,while loop,while tests its condition before each iteration and runs zero or more times - 'repeat as long as this stays true'.,"A jump-rope turner who peeks at a stop sign before every single swing: if the sign is already up before the first swing, you never jump at all.",while n > 1: / n = n // 2,"do-while - do-while tests after the body, guaranteeing one run; while may run zero times.",A toll gate checked before every lap,Programming fundamentals,Control flow: iteration,"0 is the empty origin: null, zero, the blank slate every program starts from",0
042,do-while loop,"do-while runs the body first and tests afterward, guaranteeing at least one iteration - the prompt-then-validate shape.",A restaurant where you must taste the soup before you may see the 'again?' menu: even the customer who wants nothing has already swallowed one spoonful.,C: do { s = prompt(); } while (!valid(s)); / Python: while True: ... if ok: break,while - while checks first (0+ runs); do-while checks last (1+ runs).,A free sample you must take before deciding to shop,Programming fundamentals,Control flow: iteration,"0 is the empty origin: null, zero, the blank slate every program starts from",0
043,Counted for loop,"The classic for bundles init, test, and step - for(i=0; i<n; i++) - marching an index across a range a known number of times.","A metronome fitted with an odometer: wound to n ticks, it swings exactly that many times, the counter arm clicking one notch per swing until it locks.",for i in range(10): print(i) # 0..9,for-each - counted for exposes an index you manage; for-each hands you the elements directly.,A wind-up toy soldier taking exactly n steps,Programming fundamentals,Control flow: iteration,"0 is the empty origin: null, zero, the blank slate every program starts from",0
044,for-each loop,"for-each iterates directly over a collection's elements (for x in xs) with no index bookkeeping, killing off-by-one bugs.",A sushi conveyor belt: plates glide into your hands one by one in order; you never count seats or reach across the counter - the belt does all the walking.,"for name in names: greet(name) / for i, x in enumerate(xs): ...",range(len(xs)) - use enumerate(xs) when you need the index too; indexing by hand reintroduces fenceposts.,A gumball machine dispensing one ball per turn,Programming fundamentals,Control flow: iteration,"0 is the empty origin: null, zero, the blank slate every program starts from",0
045,break and continue,break exits the innermost loop immediately; continue abandons the rest of this iteration and jumps to the next test.,On a carousel: break is vaulting over the rail and leaving the ride mid-spin; continue is ducking past the remaining horses to be first at the gate for the next lap.,for x in xs: / if bad(x): continue / if x == goal: break,return - return exits the whole function; break only exits one loop level.,An ejector seat vs skipping to the next song,Programming fundamentals,Control flow: iteration,"0 is the empty origin: null, zero, the blank slate every program starts from",0
046,Off-by-one error,Fencepost errors run a loop once too many or too few by confusing counts with boundaries: 10 posts hold only 9 rails.,"A builder orders 10 rails for his 10 fence posts and stands baffled at the end, one rail dangling from his hand - posts are boundaries; the gaps are the count.",for i in range(len(a) + 1): a[i] # IndexError on last pass,"Half-open ranges - the [0, n) convention makes length = end - start and chains cleanly, preventing most fenceposts.",Cutting a ribbon into pieces: cuts vs pieces,Programming fundamentals,Control flow: iteration,"0 is the empty origin: null, zero, the blank slate every program starts from",0
047,Infinite loop,"An infinite loop never falsifies its condition - forgotten increment, wrong comparison, or a skipped exact value - and pins the CPU.",A hamster wheel with the exit ladder sawn off: nothing inside the wheel ever changes between spins - nobody refills or moves the water bottle (the loop variable) - so the hamster runs forever.,"n = 0 / while n != 100: n += 3 # 99 -> 102, skips 100 forever",Event loop - servers run while True on purpose with blocking waits and breaks; the bug is having no reachable exit.,An escalator whose top step feeds the bottom,Programming fundamentals,Control flow: iteration,"0 is the empty origin: null, zero, the blank slate every program starts from",0
048,Loop invariant,"An invariant is a property true before and after every iteration - the handle for reasoning a loop correct, e.g. 'best = max so far'.","A tightrope walker crossing loop after loop of rope, her balancing pole engraved 'sum == total of items walked so far': the pole must read true at every step or she falls.",# invariant: s == sum(a[:i]) / for i in range(len(a)): s += a[i],Postcondition - the postcondition holds once at the end; the invariant holds at every iteration boundary.,A pilot's checklist re-verified between every leg,Programming fundamentals,Control flow: iteration,"0 is the empty origin: null, zero, the blank slate every program starts from",0
049,Mutating while iterating,"Modifying a collection during iteration over it skips or repeats elements, or raises (dict); iterate a copy or build a new one.","Sawing rungs off a ladder while climbing it: cut the rung underfoot and your boot lands two rungs up, skipping one - or the whole ladder bucks you off (RuntimeError).",for x in lst: lst.remove(x) # silently skips items / for x in lst[:]: ... # safe copy,Iterating a snapshot - for k in list(d) is safe; mutating d while iterating d itself raises RuntimeError.,Eating the buffet table while walking down it,Programming fundamentals,Control flow: iteration,"0 is the empty origin: null, zero, the blank slate every program starts from",0
050,String as sequence,"A string is an ordered, indexable sequence of characters: s[0], slices s[1:3], len(s), and iteration treat text like a list of chars.","A charm bracelet with numbered links starting at 0: you can lift out charm 4 alone, or unclip a whole run of links (a slice) without breaking the chain.","s = ""hello"" / s[0] -> ""h""; s[1:3] -> ""el""; len(s) -> 5","List - both are sequences, but strings are immutable and hold only characters.",Train cars numbered from the locomotive,Programming fundamentals,Strings & text encoding,"0 is the empty origin: null, zero, the blank slate every program starts from",0
051,String immutability,"Strings cannot change in place - every 'modification' (upper, replace, +) builds and returns a brand-new string object.","Words glazed and fired in a kiln: to fix a typo you cannot repaint the pot - you throw an entirely new pot with the corrected word, and the flawed original stays on the shelf.","s = ""cat"" / s[0] = ""b"" # TypeError / s = ""b"" + s[1:] # new string",Rebinding - s = s.upper() points the name at a new string; the original object never changed.,A tattoo you can only cover with a new tattoo,Programming fundamentals,Strings & text encoding,"0 is the empty origin: null, zero, the blank slate every program starts from",0
052,Concatenation cost,"Repeated s += part copies the whole string each time - O(n^2) total; collect pieces in a list and """".join(parts) for O(n).",A monk who recopies the entire scroll by hand every time he adds one line at the bottom; the wise monk drops lines into a basket all day and glues them once at dusk (join).,"for w in words: s += w # O(n^2) / s = """".join(words) # O(n)",List append - appending to a list is amortized O(1); += on a string recopies the whole prefix every time.,Rebuilding a brick wall to add each new brick,Programming fundamentals,Strings & text encoding,"0 is the empty origin: null, zero, the blank slate every program starts from",0
053,String formatting,"Formatting interpolates values into templates - f""{name}: {x:.2f}"" - with specs controlling width, precision, and padding.","A Mad Libs pamphlet with windows cut out: you slide value cards into the {brace} holes, and each window's little stencil (:.2f) trims the card to size before it shows.","f""{price:.2f}""; ""{:>8}"".format(x); ""%d items"" % n","Concatenation - str(a) + "": "" + str(b) works, but f-strings handle conversion plus format specs inline.",A rubber stamp with adjustable digit wheels,Programming fundamentals,Strings & text encoding,"0 is the empty origin: null, zero, the blank slate every program starts from",0
054,Escape sequences,"A backslash gives the next character special meaning - \n newline, \t tab, \"" quote, \\ backslash; raw strings r""..."" turn it off.",The backslash is a stage magician's cape: throw it over the letter n and the letter transforms into an actual line break; throw it over a quote and the quote becomes a harmless prop.,"print(""a\tb\n\""hi\"""") / path = r""C:\new"" # raw: no \n surprise","Raw string - r""\n"" is two characters (backslash, n); ""\n"" is one newline character.",A secret handshake that changes the next word's meaning,Programming fundamentals,Strings & text encoding,"0 is the empty origin: null, zero, the blank slate every program starts from",0
055,Unicode code points,"Unicode assigns every character a number (code point, U+0000-U+10FFFF); a Python 3 str is a sequence of code points, not bytes.","A cosmic library where every glyph humanity ever wrote sits in a numbered pigeonhole: 'A' in box 65, and the snowman melting quietly in box U+2603.","ord(""e"") -> 101; chr(0x2603) -> snowman character",Encoding - a code point is the abstract number; an encoding like UTF-8 decides which bytes represent it.,A periodic table for every alphabet at once,Programming fundamentals,Strings & text encoding,"0 is the empty origin: null, zero, the blank slate every program starts from",0
056,UTF-8,"UTF-8 encodes code points as 1-4 bytes; ASCII stays 1 byte unchanged, and byte prefixes self-synchronize - the web's default encoding.","A telescoping travel cup: plain ASCII letters fold flat into one byte, while the snowman unfolds to three segments - and each segment's stripes announce whether it starts or continues a character.","""\u00e9"".encode(""utf-8"") -> b'\xc3\xa9' # 2 bytes, 1 char",UTF-16 - UTF-16 uses 2- or 4-byte units with surrogates and BOM issues; UTF-8 is byte-oriented and ASCII-safe.,Envelopes that grow stamps as the destination gets exotic,Programming fundamentals,Strings & text encoding,"0 is the empty origin: null, zero, the blank slate every program starts from",0
057,Text vs bytes,str is decoded text (code points); bytes are raw octets; convert only at the edges with .encode()/.decode() - never mix the two.,"A border checkpoint between meaning-land and wire-land: prose must pass the encode booth to become numbered freight, and freight must pass decode to become prose. No cargo walks through untranslated.","b = ""caf\u00e9"".encode(""utf-8"") / s = b.decode(""utf-8"")","Python 2 str - Py2 blurred bytes and text, corrupting silently; Py3 makes every crossing explicit or an error.",Sheet music vs the pressed vinyl groove,Programming fundamentals,Strings & text encoding,"0 is the empty origin: null, zero, the blank slate every program starts from",0
058,Mojibake,Mojibake is garbled text from decoding bytes with the wrong encoding - the bytes survived intact; only the interpretation broke.,"A karaoke machine playing the right vinyl at the wrong RPM: the recording is perfectly intact, but out comes chipmunk gibberish - 'A-tilde-copyright' warbling where an accented e should sing.","""caf\u00e9"".encode(""utf-8"").decode(""latin-1"") / # -> 'caf\u00c3\u00a9' (two junk chars)",Data corruption - mojibake bytes are intact and recoverable by re-decoding correctly; corruption loses the bytes themselves.,Reading a French letter with a Spanish phrasebook,Programming fundamentals,Strings & text encoding,"0 is the empty origin: null, zero, the blank slate every program starts from",0
